ProviderType,DFTA ID,ProgramName,SponsorName,ProgramAddress,ProgramCity,ProgramState,Postcode,Borough,ProgramPhone,DFTA Funded,MonHourOpen,MonHourClose,TueHourOpen,TueHourClose,WedHourOpen,WedHourClose,ThuHourOpen,ThuHourClose,FriHourOpen,FriHourClose,SatHourOpen,SatHourClose,SunHourOpen,SunHourClose,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1
CAREGIVER SERVICES CONTRACTS,2K401,HEIGHTS AND HILLS CAREGIVER PROGRAM (2K4),HEIGHTS AND HILLS INC.,81 WILLOUGHBY STREET STE 302,BROOKLYN,NY,11201,BROOKLYN,718-596-8789,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.692184,-73.985753,302,33,11,3000350,3001480046,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.985753 40.692184)
HOMECARE SERVICES CONTRACTS,4HR01,PEOPLE CARE HOME CARE QN (4HR),PEOPLE CARE INCORPORATED,1649 61St Street,BROOKLYN,NY,11204,BROOKLYN,212-631-7384,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.623549,-73.991333,312,44,242,3132079,3055170065,Borough Park,POINT (-73.991333 40.623549)
OLDER ADULT CENTER CONTRACTS,W1901,PSS PARKSIDE (W19),PRESBYTERIAN SENIOR SERVICES,644 Adee Avenue,BRONX,NY,10467,BRONX,718-881-7780,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.869670,-73.869106,211,12,336,2101742,2045420100,Bronxdale,POINT (-73.869106 40.86967)
OLDER ADULT CENTER CONTRACTS,W1703,STAPELTON OAC (W17),JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,189 Gordon Street,STATEN ISLAND,NY,10304,STATEN ISLAND,718-981-8828,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.623124,-74.082838,501,49,29,5108860,5005450100,Stapleton-Rosebank,POINT (-74.082838 40.623124)
OLDER ADULT CENTER CONTRACTS,W1701,BERNIKOW OAC (W17),JEWISH COMMUNITY CENTER OF STATEN ISLAND INC,1466 Manor Road,STATEN ISLAND,NY,10314,STATEN ISLAND,718-475-5284,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.594454,-74.125677,502,50,181,5141743,5009550100,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,POINT (-74.125677 40.594454)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6401,LINDSAY PARK NORC (N64),ST. NICKS ALLIANCE CORP.,31 Leonard Street,BROOKLYN,NY,11206,BROOKLYN,718-874-0102,Y,09:00,04:00,09:00,04:00,09:00,04:00,09:00,04:00,09:00,04:00,00:00,00:00,00:00,00:00,40.704280,-73.946062,301,34,491,3327972,3030770001,East Williamsburg,POINT (-73.946062 40.70428)
OLDER ADULT CENTER CONTRACTS,W1501,CENTER ON THE SQ (W15),GREENWICH HOUSE INC.,20 Washington Square North,NEW YORK,NY,10011,MANHATTAN,212-777-3555,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.731781,-73.997705,102,01,63,1008851,1005510008,West Village,POINT (-73.997705 40.731781)
OLDER ADULT CENTER CONTRACTS,W1503,INDEPENDENCE PLAZA (W15),GREENWICH HOUSE INC.,310 Greenwich Street,NEW YORK,NY,10013,MANHATTAN,212-267-0499,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.717604,-74.010667,101,01,39,1083243,1001420025,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.010667 40.717604)
OLDER ADULT CENTER CONTRACTS,C4708,JCCGCI OCEAN PARKWAY OLDER ADULT CENTER (C47),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,1960 East 7th Street,BROOKLYN,NY,11223,BROOKLYN,718-449–5000,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.603084,-73.965083,315,47,418,3178703,3066820045,Homecrest,POINT (-73.965083 40.603084)
CAREGIVER SERVICES CONTRACTS,3K301,LENOX HILL - CAREGIVER - MN 08-12 (3K3),LENOX HILL NEIGHBORHOOD HOUSE INC,331 EAST  70 STREET,NEW YORK,NY,10021,MANHATTAN,212-218-0438,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.766925,-73.957950,108,05,126,1044838,1014450014,Lenox Hill-Roosevelt Island,POINT (-73.95795 40.766925)
TRANSPORTATION SERVICES CONTRACTS,30902,ARC XVI - TRAN GROUP RIDES - MN NORTH (309),ARC XVI FORT WASHINGTON INC,108 WEST  146 STREET,NEW YORK,NY,10039,MANHATTAN,212-281-1349,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.821341,-73.936317,110,09,232,1060189,1020140036,Central Harlem North-Polo Grounds,POINT (-73.936317 40.821341)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N5801,PENN SOUTH NORC (N58),PENN SOUTH SOCIAL SERVICES INC,290A 9TH AVENUE,NEW YORK,NY,10001,MANHATTAN,212-243-3670,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.748925,-73.999545,104,03,97,1082794,1007510001,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.999545 40.748925)
OLDER ADULT CENTER CONTRACTS,W1401,ENCORE AT ST MALACHY'S (W14),ENCORE COMMUNITY SERVICES,239 West 49th Street,NEW YORK,NY,10019,MANHATTAN,212-581-2910,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.761143,-73.985312,105,03,125,1024789,1010210009,Midtown-Midtown South,POINT (-73.985312 40.761143)
OLDER ADULT CENTER CONTRACTS,W2007,ROUNDTABLE SENIOR (W20),RISEBORO COMMUNITY PARTNERSHIP INC,1175 Gates Avenue,BROOKLYN,NY,11206,BROOKLYN,718-443-1903,Y,08:00,05:30,08:00,05:30,08:00,05:30,08:00,05:30,08:00,05:30,00:00,00:00,00:00,00:00,40.691707,-73.919907,304,37,399,3076253,3033310025,Bushwick South,POINT (-73.919907 40.691707)
OLDER ADULT CENTER CONTRACTS,C6401,WOODSIDE OLDER ADULT CENTER (C64),SAMARITAN DAYTOP VILLAGE INC,50-37 Newtown Road,FLUSHING,NY,11377,QUEENS,718-932-6916,Y,07:45,03:45,07:45,03:45,07:45,03:45,07:45,03:45,07:45,03:45,00:00,00:00,00:00,00:00,40.753724,-73.911047,401,26,163,4430993,4007360002,Astoria,POINT (-73.911047 40.753724)
OLDER ADULT CENTER CONTRACTS,C3801,HMH CITY HALL OLDER ADULT CENTER (C38),HAMILTON MADISON HOUSE INC,100 Gold Street Lower Level,NEW YORK,NY,10038,MANHATTAN,212-788-5580,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.710353,-74.004007,101,01,1501,1001289,1000940025,Battery Park City-Lower Manhattan,POINT (-74.004007 40.710353)
OLDER ADULT CENTER CONTRACTS,C1714,CCNS NARROWS OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,930 53rd Street,BROOKLYN,NY,11219,BROOKLYN,718-232-2311,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.637498,-74.002266,312,38,116,3343065,3056660012,Borough Park,POINT (-74.002266 40.637498)
CAREGIVER SERVICES CONTRACTS,4K101,SUNNYSIDE CAREGIVER QN 01-07 (4K1),SUNNYSIDE COMMUNITY SERVICES INC,43-31 39 Street,LONG ISLAND CITY,NY,11104,QUEENS,718-392-6945,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.745190,-73.925909,402,26,179,4436677,4001910005,Hunters Point-Sunnyside-West Maspeth,POINT (-73.925909 40.74519)
OLDER ADULT CENTER CONTRACTS,C6502,SAMUEL FIELD Y BAY TERRACE OLDER ADULT CENTER (C65),COMMONPOINT QUEENS,21200 23rd Avenue,FLUSHING,NY,11360,QUEENS,718-225-4253,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.781448,-73.778109,407,19,99704,4132408,4059000050,Ft. Totten-Bay Terrace-Clearview,POINT (-73.778109 40.781448)
OLDER ADULT CENTER CONTRACTS,C6501,SAM FIELD OLDER ADULT CENTER (C65),COMMONPOINT QUEENS,58-20 Little Neck Pkwy,FLUSHING,NY,11362,QUEENS,718-225-6750,Y,09:00,04:00,09:00,04:00,09:00,04:00,09:00,04:00,09:00,04:00,00:00,00:00,00:00,00:00,40.761577,-73.723122,411,23,152902,4173029,4083520051,Douglas Manor-Douglaston-Little Neck,POINT (-73.723122 40.761577)
HOME DELIVERED MEAL SERVICE CONTRACTS,33E01,CHARLES A. WALBURG - HDM - MN09 10 12 (33E),CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC,163 West 125th Street 13th Floor,NEW YORK,NY,10027,MANHATTAN,212-222-2552,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.808644,-73.947524,110,09,222,1081602,1019100001,Central Harlem South,POINT (-73.947524 40.808644)
OLDER ADULT CENTER CONTRACTS,C0204,ALLEN AME COMMUNITY SENIOR CITIZENS CENTERS - LINDEN BLVD (C02),ALLEN AME CHURCH dba ALLEN COMMUNITY SENIOR CITIZENS CENTER,166-01 Linden Blvd,JAMAICA,NY,11434,QUEENS,718-658-0980,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.690054,-73.783147,412,27,266,4435290,4123220001,South Jamaica,POINT (-73.783147 40.690054)
OLDER ADULT CENTER CONTRACTS,C5502,POLISH AND SLAVIC CENTER INC (C55),POLISH & SLAVIC CENTER INC,103 East 7th Street,NEW YORK,NY,10009,MANHATTAN,212-673-7704,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.726683,-73.985016,103,02,32,1005851,1004350049,East Village,POINT (-73.985016 40.726683)
OLDER ADULT CENTER CONTRACTS,C7702,ARROCHAR (C77),STATEN ISLAND COMMUNITY SERVICES FRIENDSHIP CLUBS INC,44 Bionia Avenue,STATEN ISLAND,NY,10305,STATEN ISLAND,718-698-7979,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.596713,-74.075377,502,50,64,5133958,5032700025,Grasmere-Arrochar-Ft. Wadsworth,POINT (-74.075377 40.596713)
OLDER ADULT CENTER CONTRACTS,C0901,BRC SENIOR CENTER (C09),BOWERY RESIDENTS COMMITTEE INC,30 Delancy Street,NEW YORK,NY,10002,MANHATTAN,212-533-2020,Y,08:00,03:30,08:00,03:30,08:00,03:30,08:00,03:30,08:00,03:30,00:00,00:00,00:00,00:00,40.719792,-73.992269,103,01,18,1079081,1004200001,Chinatown,POINT (-73.992269 40.719792)
OLDER ADULT CENTER CONTRACTS,C7501,ST NICKS ALLIANCE COOPER PARK SOCIAL 2 (C75),ST. NICKS ALLIANCE CORP.,288 Frost Street,BROOKLYN,NY,11222,BROOKLYN,718-227-3652,Y,09:00,04:00,09:00,04:00,09:00,04:00,09:00,04:00,09:00,04:00,00:00,00:00,00:00,00:00,40.718837,-73.939856,301,34,449,3327829,3028670001,East Williamsburg,POINT (-73.939856 40.718837)
OLDER ADULT CENTER CONTRACTS,C1401,BROOKS SENIOR CENTER (C14),BROOKS MEMORIAL UNITED METHODIST CHURCH,143-22 109th Avenue,JAMAICA,NY,11435,QUEENS,718-291-3935,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.688564,-73.803554,412,28,196,4257866,4119330001,South Jamaica,POINT (-73.803554 40.688564)
ELDER ABUSE SERVICES CONTRACTS,64701,WEILL MEDICAL - PROTECT MENTAL HEALTH - CITYWIDE (647),WEILL MEDICAL COLLEGE OF CORNELL UNIVERSITY,21 BLOOMINGDALE RD,WHITE PLAINS,NY,10605,,914-997-4333,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,,,,,,,,,
OLDER ADULT CENTER CONTRACTS,C7205,TIMES PLAZA CENTER OAC (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,460 Atlantic Avenue,BROOKLYN,NY,11217,BROOKLYN,718-694-0895,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.686296,-73.983223,302,33,41,3000937,3001840025,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.983223 40.686296)
CASE MANAGEMENT SERVICES CONTRACTS,3M801,NY FOUNDATION - CMA - MN 1 2 3 5 6 (3M8),NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,11 Park Place,NEW YORK,NY,10007,MANHATTAN,212-962-7817,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.712828,-74.008296,101,01,21,1001399,1001240004,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-74.008296 40.712828)
OLDER ADULT CENTER CONTRACTS,W2203,JASA EINSTEIN (W22),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,135 EINSTEIN LOOP,BRONX,NY,10475,BRONX,718-320-2066,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.864255,-73.822030,210,12,302,2095160,2051350210,Co-op City,POINT (-73.82203 40.864255)
OLDER ADULT CENTER CONTRACTS,C4701,JCCGCI CONEY ISLAND SEASIDE OLDER ADULT CENTER (ISC) (C47),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,3001 West 37th Street,BROOKLYN,NY,11224,BROOKLYN,718-449-6363,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.573177,-74.002509,313,47,340,3189617,3070650001,Seagate-Coney Island,POINT (-74.002509 40.573177)
OLDER ADULT CENTER CONTRACTS,4AT01,MIDDLE VILLAGE ADULT CENTER (4AT),RABBI ISRAEL MEYER HACOHEN RABBINICAL SEMINARY OF AMERICA,69-10 75th St.,FLUSHING,NY,11379,QUEENS,718-894-3441,Y,,,,,,,,,,,,,,,40.709285,-73.876664,405,30,619,4091868,4037860020,Middle Village,POINT (-73.876664 40.709285)
OLDER ADULT CENTER CONTRACTS,W1505,WESTBETH (W15),GREENWICH HOUSE INC.,155 Bank Street,NEW YORK,NY,10014,MANHATTAN,212-255-5191,Y,00:00,00:00,09:00,06:00,09:00,06:00,09:00,06:00,09:00,05:00,09:00,01:00,00:00,00:00,40.736095,-74.009205,102,03,79,1012047,1006390001,West Village,POINT (-74.009205 40.736095)
ELDER ABUSE SERVICES CONTRACTS,1E402,JASA - ELDER JUSTICE - QN SOUTH (1E4),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,131 BEACH   19 STREET,FAR ROCKAWAY,NY,11691,QUEENS,212-273-5200,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.593761,-73.753207,414,31,99802,4301622,4158100055,Far Rockaway-Bayswater,POINT (-73.753207 40.593761)
CASE MANAGEMENT SERVICES CONTRACTS,4MD01,QCH CMA QN 4 6 (4MD),QUEENS COMMUNITY HOUSE INC.,108-25 62nd Drive,FLUSHING,NY,11375,QUEENS,718-268-1412,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.735910,-73.850212,406,24,745,4432108,4021590015,Forest Hills,POINT (-73.850212 40.73591)
OLDER ADULT CENTER CONTRACTS,W1301,GOLDEN PHOENIX 1 (ELMCOR NSC) (W13),ELMCOR YOUTH & ADULT ACTIVITIES INC,98-19 Astoria Blvd,FLUSHING,NY,11369,QUEENS,718-651-0096,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.762296,-73.871089,403,21,367,4032768,4013720045,East Elmhurst,POINT (-73.871089 40.762296)
OLDER ADULT CENTER CONTRACTS,W2101,SELFHELP AUSTIN ST (W21),SELFHELP COMMUNITY SERVICES INC,106-06 Queens Boulevard,FLUSHING,NY,11375,QUEENS,718-520-8197,Y,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,08:30,04:30,00:00,00:00,00:00,00:00,40.722120,-73.847335,406,29,711,4077479,4032370040,Forest Hills,POINT (-73.847335 40.72212)
HOME DELIVERED MEAL SERVICE CONTRACTS,42N01,CCNS HDM - QUEENS 1 (42N),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,89-18 Astoria Boulevard,FLUSHING,NY,11369,QUEENS,718-806-1080,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.763727,-73.879570,403,22,329,4032388,4013630011,Jackson Heights,POINT (-73.87957 40.763727)
CASE MANAGEMENT SERVICES CONTRACTS,4MF01,CCNS CMA QN 9 10 12 (4MF),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,183-16 Jamaica Avenue,JAMAICA,NY,11432,QUEENS,718-217-0126,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.708932,-73.776983,412,27,444,4438800,4103520058,Jamaica,POINT (-73.776983 40.708932)
OLDER ADULT CENTER CONTRACTS,C1105,BRONXWORKS TWIN PARKS WEST (C11),BRONXWORKS INC,355 EAST 183 Street,BRONX,NY,10458,BRONX,,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.856391,-73.895991,205,15,38302,2092394,2031430155,Fordham South,POINT (-73.895991 40.856391)
OLDER ADULT CENTER CONTRACTS,C7201,RED HOOK NSC (C72),SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.,120 West 9th Street,BROOKLYN,NY,11231,BROOKLYN,718-269-0519,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.675925,-74.001961,306,38,85,3339412,3005380001,Carroll Gardens-Columbia Street-Red Hook,POINT (-74.001961 40.675925)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6801,JASA CO OP CITY NORC (N68),THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2049 Bartow Avenue,BRONX,NY,10475,BRONX,718-320-2066,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.869420,-73.829027,210,12,46201,2097466,2051410100,Co-op City,POINT (-73.829027 40.86942)
NATURALLY OCCURING RETIREMENT COMMUNITY CONTRACTS,N6203,SELFHELP NORTHRIDGE 11-BRULENE NORC (N62),SELFHELP COMMUNITY SERVICES INC,33-45 90TH STREET,FLUSHING,NY,11372,QUEENS,718-396-5425,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.754890,-73.877655,403,25,277,4431400,4014380001,Jackson Heights,POINT (-73.877655 40.75489)
OLDER ADULT CENTER CONTRACTS,W1910,PSS CITY ISLAND (W19),PRESBYTERIAN SENIOR SERVICES,116 City Island Avenue,BRONX,NY,10464,BRONX,718-885-0727,Y,08:00,03:00,08:00,03:00,08:00,03:00,08:00,03:00,08:00,03:00,00:00,00:00,00:00,00:00,40.841097,-73.784187,210,13,516,2082432,2056400010,Pelham Bay-Country Club-City Island,POINT (-73.784187 40.841097)
OLDER ADULT CENTER CONTRACTS,C5605,QCH REGO PARK OAC (C56),QUEENS COMMUNITY HOUSE INC.,93-29 Queens Blvd,FLUSHING,NY,11374,QUEENS,718-896-8511,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.731470,-73.866044,406,29,71702,4050408,4020770050,Rego Park,POINT (-73.866044 40.73147)
OLDER ADULT CENTER CONTRACTS,C1712,CCNS BEST LIFE OAC (C17),CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,118-35 Farmers Boulevard,JAMAICA,NY,11412,QUEENS,718-722-6095,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.689392,-73.762087,412,27,394,4000000,4126030063,St. Albans,POINT (-73.762087 40.689392)
TRANSPORTATION SERVICES CONTRACTS,24603,JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC (246),JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC,3001 WEST   37 STREET,BROOKLYN,NY,11224,BROOKLYN,718-449-5000,Y,,,,,,,,,,,,,,,40.573177,-74.002509,313,47,340,3189617,3070650001,Seagate-Coney Island,POINT (-74.002509 40.573177)
OLDER ADULT CENTER CONTRACTS,W1202,BAY RIDGE CTR FOR HEALTH AND WELLNESS (W12),BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,15 Bay Ridge Avenue,BROOKLYN,NY,11209,BROOKLYN,718-748-0650,Y,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,09:00,05:00,00:00,00:00,00:00,00:00,40.638645,-74.035376,310,47,34,3144947,3058590060,Bay Ridge,POINT (-74.035376 40.638645)
OLDER ADULT CENTER CONTRACTS,W1603,CARVER (W16),INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,55 East 102nd Street,NEW YORK,NY,10029,MANHATTAN,212-289-2709,Y,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,08:00,04:00,00:00,00:00,00:00,00:00,40.790840,-73.950853,111,08,168,1082659,1016080023,East Harlem South,POINT (-73.950853 40.79084)
