rank,priority,venue,sponsor,sponsor_center_count,address,borough,zip,phone,type,dfta_id,status,date_contacted,booking_contact,email,website,notes
14,MEDIUM,CPC NY CHINATOWN NEIGHBORHOOD SENIOR CENTER,CHINESE AMERICAN PLANNING COUNCIL INC,4,55 Chrystie Street,Manhattan,10002,212-233-8930,Senior Center (DFTA),C2103,,,,,https://www.cpcnyc.org,Sponsor: CHINESE AMERICAN PLANNING COUNCIL INC | Hours: 09:00-05:00 Mon-Fri
15,MEDIUM,CPC PROJECT OPEN DOOR NEIGHBORHOOD SENIOR CENTER,CHINESE AMERICAN PLANNING COUNCIL INC,4,168 Grand Street,Manhattan,10013,212-431-9026,Senior Center (DFTA),C2104,,,,,https://www.cpcnyc.org,Sponsor: CHINESE AMERICAN PLANNING COUNCIL INC | Hours: 09:00-05:00 Mon-Fri
16,MEDIUM,FIND AID CLINTON OAC,FIND AID FOR THE AGED,4,530 West 55th Street,Manhattan,10019,212-757-2026,Senior Center (DFTA),C3301,,,,,,Sponsor: FIND AID FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
17,MEDIUM,FIND AID COFFEEHOUSE CENTER,FIND AID FOR THE AGED,4,331 West 42nd Street,Manhattan,10036,646-545-4621,Senior Center (DFTA),C3302,,,,,,Sponsor: FIND AID FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
18,MEDIUM,FIND AID HAMILTON OAC,FIND AID FOR THE AGED,4,141 W 73rd Street,Manhattan,10023,212-787-7710,Senior Center (DFTA),C3303,,,,,,Sponsor: FIND AID FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
19,MEDIUM,FIND AID WOODSTOCK OAC,FIND AID FOR THE AGED,4,127 West 43rd Street,Manhattan,10036,212-575-0693,Senior Center (DFTA),C3304,,,,,,Sponsor: FIND AID FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
20,MEDIUM,CENTER ON THE SQ,GREENWICH HOUSE INC.,4,20 Washington Square North,Manhattan,10011,212-777-3555,Senior Center (DFTA),W1501,,,,info@greenwichhouse.org,https://greenwichhouse.org,Sponsor: GREENWICH HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
21,MEDIUM,INDEPENDENCE PLAZA,GREENWICH HOUSE INC.,4,310 Greenwich Street,Manhattan,10013,212-267-0499,Senior Center (DFTA),W1503,,,,info@greenwichhouse.org,https://greenwichhouse.org,Sponsor: GREENWICH HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
22,MEDIUM,OUR LADY OF POMPEII,GREENWICH HOUSE INC.,4,25 Carmine Street,Manhattan,10014,212-989-3620,Senior Center (DFTA),W1502,,,,info@greenwichhouse.org,https://greenwichhouse.org,Sponsor: GREENWICH HOUSE INC. | Hours: 09:00-05:00 Mon-Fri
23,MEDIUM,WESTBETH,GREENWICH HOUSE INC.,4,155 Bank Street,Manhattan,10014,212-255-5191,Senior Center (DFTA),W1505,,,,info@greenwichhouse.org,https://greenwichhouse.org,Sponsor: GREENWICH HOUSE INC. | Hours: 00:00-00:00 Mon-Fri
24,MEDIUM,CARVER,INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC,6,55 East 102nd Street,Manhattan,10029,212-289-2709,Senior Center (DFTA),W1603,,,,,https://iprhe.org,Sponsor: INSTITUTE FOR THE PUERTO RICAN HISPANIC ELDERLY INC | Hours: 08:00-04:00 Mon-Fri
25,MEDIUM,EDIE WINDSOR SAGE CENTER,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,4,305 7th Avenue,Manhattan,10001,646-576-8669,Senior Center (DFTA),C6904,,,,info@sageusa.org,https://www.sageusa.org,Sponsor: SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND | Hours: 11:00-08:00 Mon-Fri
26,MEDIUM,SAGE CENTER HARLEM,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,4,220 West 143rd Street,Manhattan,10030,929-458-0170,Senior Center (DFTA),C6902,,,,info@sageusa.org,https://www.sageusa.org,Sponsor: SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND | Hours: 09:00-05:00 Mon-Fri
27,MEDIUM,CORSI OAC,UNION SETTLEMENT ASSOCIATION,5,307 E 116th Street,Manhattan,10029,212-828-6756,Senior Center (DFTA),W2405,,,,info@unionsettlement.org,https://www.unionsettlement.org,Sponsor: UNION SETTLEMENT ASSOCIATION | Hours: 08:00-04:00 Mon-Fri
28,MEDIUM,GAYLORD WHITE OAC,UNION SETTLEMENT ASSOCIATION,5,2029 Second Avenue,Manhattan,10029,212-828-6055,Senior Center (DFTA),W2401,,,,info@unionsettlement.org,https://www.unionsettlement.org,Sponsor: UNION SETTLEMENT ASSOCIATION | Hours: 09:00-05:00 Mon-Fri
29,MEDIUM,JEFFERSON OAC,UNION SETTLEMENT ASSOCIATION,5,2205 1st Avenue,Manhattan,10029,212-828-6104,Senior Center (DFTA),W2403,,,,info@unionsettlement.org,https://www.unionsettlement.org,Sponsor: UNION SETTLEMENT ASSOCIATION | Hours: 08:00-04:30 Mon-Fri
30,MEDIUM,WAGNER SATELLITE,UNION SETTLEMENT ASSOCIATION,5,435 East 120th Street,Manhattan,10035,212-987-2980,Senior Center (DFTA),W2404,,,,info@unionsettlement.org,https://www.unionsettlement.org,Sponsor: UNION SETTLEMENT ASSOCIATION | Hours: 09:00-05:00 Mon-Fri
31,MEDIUM,WASHINGTON LEXINGTON SATELLITE,UNION SETTLEMENT ASSOCIATION,5,1775 Third Avenue,Manhattan,10029,212-828-6115,Senior Center (DFTA),W2402,,,,info@unionsettlement.org,https://www.unionsettlement.org,Sponsor: UNION SETTLEMENT ASSOCIATION | Hours: 09:00-05:00 Mon-Fri
32,LOW,AGUDATH ISRAEL MORIAH OLDER ADULT LUNCHEON CLUB,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC,3,90 Bennett Avenue,Manhattan,10033,212-923-5715,Senior Center (DFTA),C0102,,,,,,Sponsor: AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC | Hours: 08:00-04:00 Mon-Fri
33,LOW,ABSW OAC,ASSOCIATION OF BLACK SOCIAL WORKERS INC,1,221 West 107th Street,Manhattan,10025,212-749-8400,Senior Center (DFTA),C0601,,,,,,Sponsor: ASSOCIATION OF BLACK SOCIAL WORKERS INC | Hours: 08:00-04:00 Mon-Fri
34,LOW,BRC SENIOR CENTER,BOWERY RESIDENTS COMMITTEE INC,1,30 Delancy Street,Manhattan,10002,212-533-2020,Senior Center (DFTA),C0901,,,,,,Sponsor: BOWERY RESIDENTS COMMITTEE INC | Hours: 08:00-03:30 Mon-Fri
35,LOW,CANAAN SENIOR SERVICE CENTER,CANAAN BAPTIST CHURCH OF CHRIST,1,1428 5th Avenue,Manhattan,10035,212-876-2638,Senior Center (DFTA),C1501,,,,,,Sponsor: CANAAN BAPTIST CHURCH OF CHRIST | Hours: 09:00-05:00 Mon-Fri
36,LOW,CENTRAL HARLEM KENNEDY,CENTRAL HARLEM SENIOR CITIZENS CENTERS INC.,3,34 W 134th Street,Manhattan,10037,212-926-4871,Senior Center (DFTA),C1901,,,,,,Sponsor: CENTRAL HARLEM SENIOR CITIZENS CENTERS INC. | Hours: 09:00-05:00 Mon-Fri
37,LOW,CENTRAL HARLEM SC CTR BEATRICE LEWIS,CENTRAL HARLEM SENIOR CITIZENS CENTERS INC.,3,2322 Third Avenue,Manhattan,10035,212-289-9155,Senior Center (DFTA),C1904,,,,,,Sponsor: CENTRAL HARLEM SENIOR CITIZENS CENTERS INC. | Hours: 09:00-05:00 Mon-Fri
38,LOW,CENTRAL HARLEM ST NICK,CENTRAL HARLEM SENIOR CITIZENS CENTERS INC.,3,210 W. 131st Street,Manhattan,10037,646-678-4451,Senior Center (DFTA),C1902,,,,,,Sponsor: CENTRAL HARLEM SENIOR CITIZENS CENTERS INC. | Hours: 09:00-05:00 Mon-Fri
39,LOW,JACKIE ROBINSON OLDER ADULT CENTER,CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC,1,1301 Amsterdam Avenue,Manhattan,10027,212-222-2552,Senior Center (DFTA),C9901,,,,,,Sponsor: CHARLES A WALBURG MULTI SERVICE ORGANIZATION INC | Hours: 09:00-05:00 Mon-Fri
40,LOW,HAMILTON GRANGE NSC,CONVENT AVENUE BAPTIST CHURCH,1,420 West 145th Street,Manhattan,10032,212-862-4181,Senior Center (DFTA),C2401,,,,,,Sponsor: CONVENT AVENUE BAPTIST CHURCH | Hours: 09:00-05:00 Mon-Fri
41,LOW,COTHOA LUNCHEON CLUB,COTHOA LUNCHEON CLUB INC,3,2005 Amsterdam Avenue,Manhattan,10032,212-781-6580,Senior Center (DFTA),C2601,,,,,,Sponsor: COTHOA LUNCHEON CLUB INC | Hours: 08:00-04:00 Mon-Fri
42,LOW,M M BETHUNE,COTHOA LUNCHEON CLUB INC,3,1970 Amsterdam Avenue,Manhattan,10032,646-918-7710,Senior Center (DFTA),C2603,,,,,,Sponsor: COTHOA LUNCHEON CLUB INC | Hours: 09:00-05:00 Mon-Fri
43,LOW,POLO GROUNDS SATELLITE,COTHOA LUNCHEON CLUB INC,3,2965 Frederick Douglass Blvd,Manhattan,10039,212-283-5475,Senior Center (DFTA),C2602,,,,,,Sponsor: COTHOA LUNCHEON CLUB INC | Hours: 09:00-05:00 Mon-Fri
44,LOW,CASABE SENIOR HOUSES AKA EAST HARLEM NSC,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,1,150 East 121st Street,Manhattan,10035,212-722-2205,Senior Center (DFTA),C3001,,,,,,Sponsor: EAST HARLEM COUNCIL FOR HUMAN SERVICES INC | Hours: 09:00-05:00 Mon-Fri
45,LOW,ENCORE AT ST MALACHY'S,ENCORE COMMUNITY SERVICES,2,239 West 49th Street,Manhattan,10019,212-581-2910,Senior Center (DFTA),W1401,,,,volunteer@encorenyc.org,https://www.encorenyc.org,"Sponsor: ENCORE COMMUNITY SERVICES | Hours: 08:00-04:00 Mon-Fri | Sponsorship contact: kcox@encorenyc.org | Programs: Older Adult Centers, In-Person Meals, Home Delivered Meals, Case Management, Friendly Visiting, 24/7 Warm Line, Affordable Housing, Aging Through Arts Center"
46,LOW,LIFELONG LEARNING CENTER @ ENCORE WEST,ENCORE COMMUNITY SERVICES,2,755 10th Avenue,Manhattan,10019,212-991-3726,Senior Center (DFTA),W1402,,,,volunteer@encorenyc.org,https://www.encorenyc.org,"Sponsor: ENCORE COMMUNITY SERVICES | Hours: 08:00-04:30 Mon-Fri | Sponsorship contact: kcox@encorenyc.org | Programs: Older Adult Centers, In-Person Meals, Home Delivered Meals, Case Management, Friendly Visiting, 24/7 Warm Line, Affordable Housing, Aging Through Arts Center"
47,LOW,FOOD BANK FOR NEW YORK CITY OAC,FOOD BANK FOR NEW YORK CITY,1,252 West 116th Street,Manhattan,10026,212-566-7855,Senior Center (DFTA),C3401,,,,,,Sponsor: FOOD BANK FOR NEW YORK CITY | Hours: 09:00-06:00 Mon-Fri
48,LOW,GODDARD RIVERSIDE LSNC OAC @ WEST 65TH ST,GODDARD-RIVERSIDE COMMUNITY CENTER,2,250 West 65th Street,Manhattan,10023,212-874-0860,Senior Center (DFTA),C3601,,,,info@goddard.org,https://goddard.org,Sponsor: GODDARD-RIVERSIDE COMMUNITY CENTER | Hours: 08:00-04:00 Mon-Fri
49,LOW,GODDARD RIVERSIDE OAC AT WEST 88TH STREET,GODDARD-RIVERSIDE COMMUNITY CENTER,2,593 Columbus Avenue,Manhattan,10024,212-873-6600,Senior Center (DFTA),C3602,,,,info@goddard.org,https://goddard.org,Sponsor: GODDARD-RIVERSIDE COMMUNITY CENTER | Hours: 09:00-05:00 Mon-Fri
50,LOW,GRAND ST SETTLEMENT GRAND COALITION OF OLDER ADULTS OAC,GRAND STREET SETTLEMENT INC,1,175 Delancey street,Manhattan,10002,646-201-4251,Senior Center (DFTA),C3701,,,,,,Sponsor: GRAND STREET SETTLEMENT INC | Hours: 09:00-05:00 Mon-Fri
51,LOW,HMH CITY HALL OLDER ADULT CENTER,HAMILTON MADISON HOUSE INC,1,100 Gold Street Lower Level,Manhattan,10038,212-788-5580,Senior Center (DFTA),C3801,,,,,,Sponsor: HAMILTON MADISON HOUSE INC | Hours: 08:30-04:30 Mon-Fri
52,LOW,HENRY STREET OAC - GOOD COMPANIONS,HENRY STREET SETTLEMENT,1,334 Madison Street,Manhattan,10002,212-349-2770,Senior Center (DFTA),C4101,,,,,,Sponsor: HENRY STREET SETTLEMENT | Hours: 09:00-05:00 Mon-Fri
53,LOW,HUDSON GUILD,HUDSON GUILD,1,119 9th Avenue,Manhattan,10011,212-924-6710,Senior Center (DFTA),C8201,,,,,,Sponsor: HUDSON GUILD | Hours: 09:00-05:00 Mon-Fri
54,LOW,CENTER @ LENOX HILL,LENOX HILL NEIGHBORHOOD HOUSE INC,2,343 East 70th Street,Manhattan,10021,212-218-0315,Senior Center (DFTA),W1801,,,,info@lenoxhill.org,https://www.lenoxhill.org,Sponsor: LENOX HILL NEIGHBORHOOD HOUSE INC | Hours: 08:00-06:00 Mon-Fri
55,LOW,SENIOR CENTER @ ST PETER'S CHURCH,LENOX HILL NEIGHBORHOOD HOUSE INC,2,619 Lexington Avenue,Manhattan,10022,212-308-1959,Senior Center (DFTA),W1802,,,,info@lenoxhill.org,https://www.lenoxhill.org,Sponsor: LENOX HILL NEIGHBORHOOD HOUSE INC | Hours: 08:00-06:00 Mon-Fri
56,LOW,NYFSC DYCKMAN OLDER ADULT CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,3,3754 10th Avenue,Manhattan,10034,212-569-7790,Senior Center (DFTA),C5101,,,,nyfscinc@aol.com,https://www.nyfsc.org,Sponsor: NEW YORK FOUNDATION FOR SENIOR CITIZENS INC | Hours: 08:30-04:30 Mon-Fri
57,LOW,NYFSC LAGUARDIA OLDER ADULT CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,3,280 Cherry Street,Manhattan,10002,212-732-3656,Senior Center (DFTA),C5102,,,,nyfscinc@aol.com,https://www.nyfsc.org,Sponsor: NEW YORK FOUNDATION FOR SENIOR CITIZENS INC | Hours: 08:30-04:30 Mon-Fri
58,LOW,NYFSC MOTT STREET OLDER ADULT CENTER,NEW YORK FOUNDATION FOR SENIOR CITIZENS INC,3,180 Mott Street,Manhattan,10012,212-966-5460,Senior Center (DFTA),C5103,,,,nyfscinc@aol.com,https://www.nyfsc.org,Sponsor: NEW YORK FOUNDATION FOR SENIOR CITIZENS INC | Hours: 09:00-05:00 Mon-Fri
59,LOW,POLISH AND SLAVIC CENTER INC,POLISH & SLAVIC CENTER INC,2,103 East 7th Street,Manhattan,10009,212-673-7704,Senior Center (DFTA),C5502,,,,info@polishslaviccenter.org,https://polishslaviccenter.org,Sponsor: POLISH & SLAVIC CENTER INC | Hours: 09:00-05:00 Mon-Fri
60,LOW,RIVERSTONE SENIOR LIFE SERVICES OAC,RIVERSTONE SENIOR LIFE SERVICES INC.,1,99 Fort Washington Avenue,Manhattan,10032,212-927-5600,Senior Center (DFTA),C6201,,,,,,Sponsor: RIVERSTONE SENIOR LIFE SERVICES INC. | Hours: 08:30-04:30 Mon-Fri
61,LOW,STANLEY ISAACS NSC/HOLMES OLDER ADULT CENTER,STANLEY M ISAACS NEIGHBORHOOD CENTER INC,1,415 E 93rd Street,Manhattan,10128,212-360-7620,Senior Center (DFTA),C7601,,,,,,Sponsor: STANLEY M ISAACS NEIGHBORHOOD CENTER INC | Hours: 09:00-05:00 Mon-Fri
62,LOW,STEIN OLDER ADULT CENTER,STEIN SENIOR CENTER INC,1,204 East 23rd Street,Manhattan,10010,646-395-8083,Senior Center (DFTA),C7801,,,,,,Sponsor: STEIN SENIOR CENTER INC | Hours: 08:00-04:00 Mon-Fri
63,LOW,EDUCATIONAL ALLIANCE SIROVICH OLDER ADULT CENTER,THE EDUCATIONAL ALLIANCE INC,2,331 East 12th Street,Manhattan,10003,646-395-4529,Senior Center (DFTA),C8101,,,,info@14streety.org,https://edalliance.org,Sponsor: THE EDUCATIONAL ALLIANCE INC | Hours: 08:00-05:00 Mon-Fri
64,LOW,EDUCATIONAL ALLIANCE WEINBERG OAC,THE EDUCATIONAL ALLIANCE INC,2,197 East Broadway,Manhattan,10002,646-395-4270,Senior Center (DFTA),C8102,,,,info@14streety.org,https://edalliance.org,Sponsor: THE EDUCATIONAL ALLIANCE INC | Hours: 09:00-05:00 Mon-Fri
65,LOW,UJCES LILLIAN WALD OAC CENTER,UNITED JEWISH COUNCIL OF THE EAST SIDE INC,2,12 Ave D,Manhattan,10009,212-260-2731,Senior Center (DFTA),C8501,,,,info@ujces.org,https://ujces.org,Sponsor: UNITED JEWISH COUNCIL OF THE EAST SIDE INC | Hours: 09:00-05:00 Mon-Fri
66,LOW,UJCES LUNCH CLUB OAC,UNITED JEWISH COUNCIL OF THE EAST SIDE INC,2,15 Willett Street,Manhattan,10002,212-673-9328,Senior Center (DFTA),C8502,,,,info@ujces.org,https://ujces.org,Sponsor: UNITED JEWISH COUNCIL OF THE EAST SIDE INC | Hours: 08:00-04:00 Mon-Fri
67,LOW,UNIVERSITY SETTLEMENT OAC,UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,1,189 Allen Street,Manhattan,10002,212-453-4564,Senior Center (DFTA),C8701,,,,,,Sponsor: UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK | Hours: 08:00-04:00 Mon-Fri
68,LOW,VISIONS CENTER ON AGING OAC,VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED,1,135 West 23rd Street,Manhattan,10011,646-486-4444,Senior Center (DFTA),C8801,,,,,,Sponsor: VISIONS/SERVICES FOR THE BLIND AND VISUALLY IMPAIRED | Hours: 09:00-05:00 Mon-Fri
69,LOW,WASHINGTON HEIGHTS NEIGHBORHOOD SENIOR CENTER (STAR OAC),WASHINGTON HEIGHTS COMMUNITY SERVICE INC,1,650 West 187th Street,Manhattan,10033,212-781-8331,Senior Center (DFTA),C8901,,,,,,Sponsor: WASHINGTON HEIGHTS COMMUNITY SERVICE INC | Hours: 08:00-04:00 Mon-Fri
70,LOW,CENTER AT THE RED OAK,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC,2,135 West 106 Street,Manhattan,10025,917-544-1892,Senior Center (DFTA),C9101,,,,info@wsfssh.org,https://wsfssh.org,Sponsor: WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC | Hours: 08:30-04:00 Mon-Fri
71,LOW,CENTER FOR ADULTS LIVING WELL @ THE Y,YM YWHA OF WASHINGTON HEIGHTS AND INWOOD INC,1,54 Nagle Avenue,Manhattan,10040,646-738-6084,Senior Center (DFTA),C9501,,,,,,Sponsor: YM YWHA OF WASHINGTON HEIGHTS AND INWOOD INC | Hours: 08:00-04:00 Mon-Fri
72,HIGH,CCNS GLENWOOD OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,5701 Avenue H,Brooklyn,11234,718-241-7711,Senior Center (DFTA),C1718,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
73,HIGH,CCNS NARROWS OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,930 53rd Street,Brooklyn,11219,718-232-2311,Senior Center (DFTA),C1714,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
74,HIGH,CCNS NEW AGE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,54 MacDonough Street,Brooklyn,11216,718-771-7945,Senior Center (DFTA),C1713,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
75,HIGH,CCNS NORTHSIDE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,179 North 6th Street,Brooklyn,11211,718-387-2316,Senior Center (DFTA),C1710,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
76,HIGH,CCNS PETE MCGUINNESS OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,715 Leonard Street,Brooklyn,11222,718-383-1940,Senior Center (DFTA),C1711,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
77,HIGH,CCNS RIVERWAY OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,230 Riverdale Avenue,Brooklyn,11212,718-942-5345,Senior Center (DFTA),C1708,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:30-04:30 Mon-Fri
78,HIGH,CCNS ST. CHARLES JUBILEE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,55 Pierrepont Street,Brooklyn,11201,718-855-0326,Senior Center (DFTA),C1719,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 09:00-05:00 Mon-Fri
79,HIGH,CCNS ST. LOUIS OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,230 Kingston Avenue,Brooklyn,11213,718-771-7945,Senior Center (DFTA),C1715,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
80,HIGH,CCNS THE BAY OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,3643 Nostrand Avenue,Brooklyn,11229,718-648-2053,Senior Center (DFTA),C1706,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
81,HIGH,CCNS THE LODGE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,19,7711 18th Avenue,Brooklyn,11214,718-621-1081,Senior Center (DFTA),C1717,,,,info@catholiccharitiesny.org,https://catholiccharitiesny.org,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 07:00-03:00 Mon-Fri
82,HIGH,ALBANY OAC,FORT GREENE COUNCIL,14,196 Albany Avenue,Brooklyn,11213,718-773-2600,Senior Center (DFTA),C3506,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
83,HIGH,CHRISTOPHER BLENMAN OAC,FORT GREENE COUNCIL,14,720 East New York Avenue,Brooklyn,11203,718-773-7400,Senior Center (DFTA),C3505,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
84,HIGH,GRACE AGARD HAREWOOD OAC,FORT GREENE COUNCIL,14,19 Rogers Avenue,Brooklyn,11216,718-638-6910,Senior Center (DFTA),C3501,,,,info@fortgreenecouncil.org,https://www.fortgreenecouncil.org,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
