venue,sponsor,address,borough,zip,phone,type,dfta_id,status,date_contacted,booking_contact,email,notes
JASA THROGGS NECK OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,2705 Schley Avenue,Bronx,10465,718-823-1771,Senior Center (DFTA),C8309,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 07:00-03:00 Mon-Fri
JASA VAN CORTLANDT OLDER ADULT CENTER,THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED,185 W. 231st Street,Bronx,10463,718-549-4700,Senior Center (DFTA),C8310,,,,,Sponsor: THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED | Hours: 09:00-05:00 Mon-Fri
KIPS BAY CASTLE HILL OAC,KIPS BAY BOYS AND GIRLS CLUB,625 Castle Hill Avenue,Bronx,10473,718-319-9156,Senior Center (DFTA),C4801,,,,,Sponsor: KIPS BAY BOYS AND GIRLS CLUB | Hours: 08:00-04:00 Mon-Fri
LEON OAC,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,735 East 152nd Street,Bronx,10455,718-708-6897,Senior Center (DFTA),C8402,,,,,Sponsor: THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC | Hours: 08:30-04:30 Mon-Fri
MBSCC CONCOURSE PLAZA WELLNESS CENTER FOR OLDER ADULTS,MID BRONX SENIOR CITIZENS COUNCIL INC,900 Grand Concourse,Bronx,10451,718-588-8200,Senior Center (DFTA),C5001,,,,,Sponsor: MID BRONX SENIOR CITIZENS COUNCIL INC | Hours: 09:00-07:00 Mon-Fri
MILL BROOK OAC,WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC,570 East 137th street,Bronx,10454,646-214-2450,Senior Center (DFTA),C9103,,,,,Sponsor: WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC | Hours: 08:30-04:00 Mon-Fri
MMCC-CDC OLDER ADULT CENTER MAIN BUILDING,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT,3450 Dekalb Avenue,Bronx,10467,718-798-6601,Senior Center (DFTA),C2002,,,,,Sponsor: CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT | Hours: 08:30-04:30 Mon-Fri
MMCC-CDC OLDER ADULT CENTER MARBLE HILL,CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT,5365 Broadway,Bronx,10463,718-562-8551,Senior Center (DFTA),C2003,,,,,Sponsor: CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT | Hours: 08:30-04:30 Mon-Fri
NEW BEGINNINGS (RIVERDALE Y),YM YWHA OF THE BRONX dba RIVERDALE YM YWHA,5625 Arlington Avenue,Bronx,10471,718-548-8200,Senior Center (DFTA),C9701,,,,,Sponsor: YM YWHA OF THE BRONX dba RIVERDALE YM YWHA | Hours: 08:00-05:00 Mon-Fri
NORTHEAST BRONX,NORTHEAST BRONX SENIOR CITIZENS INC,2968 Bruckner Blvd,Bronx,10465,718-892-6090,Senior Center (DFTA),C5201,,,,,Sponsor: NORTHEAST BRONX SENIOR CITIZENS INC | Hours: 08:00-04:00 Mon-Fri
PATTERSON OLDER ADULT CENTERS,EAST SIDE HOUSE INC,308 E 145 Street,Bronx,10451,718-993-5146,Senior Center (DFTA),C3103,,,,,Sponsor: EAST SIDE HOUSE INC | Hours: 08:30-04:30 Mon-Fri
PSS ANDREW JACKSON,PRESBYTERIAN SENIOR SERVICES,325 East 156th Street,Bronx,10451,718-585-1640,Senior Center (DFTA),W1903,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
PSS CITY ISLAND,PRESBYTERIAN SENIOR SERVICES,116 City Island Avenue,Bronx,10464,718-885-0727,Senior Center (DFTA),W1910,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-03:00 Mon-Fri
PSS DAVIDSON,PRESBYTERIAN SENIOR SERVICES,950 Union Avenue,Bronx,10459,718-328-2811,Senior Center (DFTA),W1902,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
PSS HIGHBRIDGE,PRESBYTERIAN SENIOR SERVICES,1181 Nelson Avenue,Bronx,10452,718-588-3004,Senior Center (DFTA),W1908,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
PSS HIGHBRIDGE GARDENS,PRESBYTERIAN SENIOR SERVICES,1145 University Avenue,Bronx,10452,347-918-9185,Senior Center (DFTA),W1909,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
PSS MORRISANIA AIR RIGHTS,PRESBYTERIAN SENIOR SERVICES,3135 Park Avenue,Bronx,10451,718-992-2528,Senior Center (DFTA),W1904,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
PSS PARKSIDE,PRESBYTERIAN SENIOR SERVICES,644 Adee Avenue,Bronx,10467,718-881-7780,Senior Center (DFTA),W1901,,,,,Sponsor: PRESBYTERIAN SENIOR SERVICES | Hours: 08:00-04:00 Mon-Fri
RAIN BOSTON EAST OAC,REGIONAL AID FOR INTERIM NEEDS INC,3450 Boston Road,Bronx,10469,718-654-9200,Senior Center (DFTA),C5801,,,,,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-06:00 Mon-Fri
RAIN BOSTON ROAD OAC,REGIONAL AID FOR INTERIM NEEDS INC,2424 Boston Road,Bronx,10467,718547-8827,Senior Center (DFTA),C5802,,,,,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
RAIN BOSTON SECOR OAC,REGIONAL AID FOR INTERIM NEEDS INC,3540 Bivona Street,Bronx,10475,718-671-8550,Senior Center (DFTA),C5803,,,,,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
RAIN EASTCHESTER LATIN SOUL CAFÉ OAC,REGIONAL AID FOR INTERIM NEEDS INC,1246 Burke Avenue,Bronx,10469,718-882-8513,Senior Center (DFTA),C5804,,,,,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
RAIN GUNHILL OAC,REGIONAL AID FOR INTERIM NEEDS INC,3377 White Plains Road,Bronx,10462,718-881-5589,Senior Center (DFTA),C5805,,,,,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
RAIN MIDDLETOWN OAC,REGIONAL AID FOR INTERIM NEEDS INC,3035 Middletown Road,Bronx,10461,718-822-0486,Senior Center (DFTA),C5807,,,,,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
RAIN MT. CARMEL OAC,REGIONAL AID FOR INTERIM NEEDS INC,2405 Southern Boulevard,Bronx,10462,718-733-8852,Senior Center (DFTA),C5808,,,,,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
RAIN NEREID OAC,REGIONAL AID FOR INTERIM NEEDS INC,720 Nereid Avenue,Bronx,10466,718-994-0132,Senior Center (DFTA),C5809,,,,,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
RAIN PARKCHESTER OAC,REGIONAL AID FOR INTERIM NEEDS INC,1380 Metropolitan Avenue,Bronx,10462,718-597-9220,Senior Center (DFTA),C5810,,,,,Sponsor: REGIONAL AID FOR INTERIM NEEDS INC | Hours: 08:00-04:00 Mon-Fri
RSS CENTER FOR AGELESS LIVING,RIVERDALE SENIOR SERVICES INC,2600 Netherland Avenue,Bronx,10463,718-884-5900,Senior Center (DFTA),C6101,,,,,Sponsor: RIVERDALE SENIOR SERVICES INC | Hours: 08:00-05:00 Mon-Fri
SAGE BRONX CENTER AT CROTONA PRIDE HOUSE,SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,1784 Prospect Avenue,Bronx,10457,929-458-2150,Senior Center (DFTA),C6901,,,,,Sponsor: SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND | Hours: 08:00-04:00 Mon-Fri
SEBCO SENIOR CENTER,SEBCO DEVELOPMENT INC,887 Southern Boulevard,Bronx,10459,718-617-3465,Senior Center (DFTA),C6701,,,,,Sponsor: SEBCO DEVELOPMENT INC | Hours: 08:00-04:00 Mon-Fri
SHOPP CASA BORICUA,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,910 East 172 Street 1 Floor,Bronx,10460,718-542-0222,Senior Center (DFTA),W2301,,,,,Sponsor: THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC | Hours: 09:00-05:00 Mon-Fri
SHOPP SOUNDVIEW SOCIAL CLUB,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,1674 Seward Avenue,Bronx,10473,929-263-1182,Senior Center (DFTA),W2302,,,,,Sponsor: THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC | Hours: 09:00-05:00 Mon-Fri
SISTER ANNUNCIATA BETHELL OAC,BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZENS INC,243 East 204th Street,Bronx,10458,718-365-3725,Senior Center (DFTA),C0701,,,,,Sponsor: BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZENS INC | Hours: 08:30-04:30 Mon-Fri
THOMAS GUESS OAC,THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC,2070 Clinton Avenue,Bronx,10457,718-584-2357,Senior Center (DFTA),C8401,,,,,Sponsor: THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC | Hours: 08:00-04:00 Mon-Fri
WILLIAM HODSON OLDER ADULT CENTER,WILLIAM HODSON COMMUNITY CENTER INC,1320 Webster Avenue,Bronx,10456,718-538-1515,Senior Center (DFTA),C9201,,,,,Sponsor: WILLIAM HODSON COMMUNITY CENTER INC | Hours: 08:00-04:00 Mon-Fri
YMCA - GLEBE OLDER ADULT COMMUNITY HUB,YMCA OF GREATER NEW YORK,2125 Glebe Avenue,Bronx,10462,212-912-2490,Senior Center (DFTA),C9301,,,,,Sponsor: YMCA OF GREATER NEW YORK | Hours: 08:00-04:00 Mon-Fri
AGUDATH ISRAEL BROOKDALE SENIOR CENTER,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC,817 Avenue H,Brooklyn,11230,718-434-8670,Senior Center (DFTA),C0101,,,,,Sponsor: AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC | Hours: 08:00-04:00 Mon-Fri
AGUDATH ISRAEL OF AMERICA BORO PARK SENIOR CITIZENS CENTER,AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC,1021 38th Street,Brooklyn,11219,718-854-7430,Senior Center (DFTA),C0103,,,,,Sponsor: AGUDATH ISRAEL OF AMERICA COMMUNITY SERVICES INC | Hours: 08:00-04:00 Mon-Fri
ALBANY OAC,FORT GREENE COUNCIL,196 Albany Avenue,Brooklyn,11213,718-773-2600,Senior Center (DFTA),C3506,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
AMICO 59TH ST SENIOR CITIZEN CTR,AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO,5901 13th Avenue,Brooklyn,11219,718-972-1558,Senior Center (DFTA),C0401,,,,,Sponsor: AMERICAN ITALIAN COALITION OF ORGANIZATIONS INC AMICO | Hours: 10:00-06:00 Mon-Fri
BAY RIDGE CTR FOR HEALTH AND WELLNESS,BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,15 Bay Ridge Avenue,Brooklyn,11209,718-748-0650,Senior Center (DFTA),W1202,,,,,Sponsor: BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER | Hours: 09:00-05:00 Mon-Fri
BAY RIDGE CTR FOR LIFE LONG LEARNING,BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER,15 Bay Ridge Avenue,Brooklyn,11209,718-748-0650,Senior Center (DFTA),W1201,,,,,Sponsor: BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER | Hours: 08:00-04:00 Mon-Fri
BCA 6TH AVENUE OLDER ADULT CENTER,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,545 60th Street,Brooklyn,11200,718-567-9311,Senior Center (DFTA),C1203,,,,,Sponsor: BROOKLYN CHINESE-AMERICAN ASSOCIATION INC | Hours: 09:00-05:00 Mon-Fri
BCA BENSONHURST OLDER ADULT CENTER,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,6409 20th Avenue,Brooklyn,11204,718-331-3088,Senior Center (DFTA),C1201,,,,,Sponsor: BROOKLYN CHINESE-AMERICAN ASSOCIATION INC | Hours: 08:30-04:30 Mon-Fri
BCA DYKER HEIGHTS OLDER ADULT CENTER,BROOKLYN CHINESE-AMERICAN ASSOCIATION INC,7201 8th Avenue,Brooklyn,11228,718-622-3333,Senior Center (DFTA),C1202,,,,,Sponsor: BROOKLYN CHINESE-AMERICAN ASSOCIATION INC | Hours: 09:00-05:00 Mon-Fri
BENSONHURST SENIOR CENTER,EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST,7802 Bay Parkway,Brooklyn,11214,718-331-6800,Senior Center (DFTA),C3201,,,,,Sponsor: EDITH AND CARL MARKS JEWISH COMMUNITY HOUSE OF BENSONHURST | Hours: 08:00-04:00 Mon-Fri
BERGEN BASIN ABE STARK OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,103-15 Farragut Road,Brooklyn,11236,718-272-9515,Senior Center (DFTA),C0801,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 08:00-04:00 Mon-Fri
BERGEN BASIN INDEPENDENCE OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,114 Taylor Street,Brooklyn,11249,718-388-9242,Senior Center (DFTA),C0802,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
BERGEN BASIN MARINE PARK OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,3000 Fillmore Avenue,Brooklyn,11234,718-336-0275,Senior Center (DFTA),C0803,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
BERGEN BASIN MIDWOOD OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,2164 Ralph Avenue,Brooklyn,11234,718-253-5557,Senior Center (DFTA),C0804,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
BERGEN BASIN MILL BASIN OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,2075 East 68th Street,Brooklyn,11234,718-444-3850,Senior Center (DFTA),C0805,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
BERGEN BASIN PENN WORTMAN OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,530 Stanley Avenue,Brooklyn,11207,347-318-3770,Senior Center (DFTA),C0806,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
BERGEN BASIN VANDALIA OLDER ADULT CENTER,BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU,47 Vandalia Avenue,Brooklyn,11239,718-272-3949,Senior Center (DFTA),C0807,,,,,Sponsor: BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU | Hours: 09:00-05:00 Mon-Fri
BORINQUEN PLAZA,RISEBORO COMMUNITY PARTNERSHIP INC,80 Seigel Street,Brooklyn,11206,718-782-6335,Senior Center (DFTA),W2001,,,,,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 08:00-04:00 Mon-Fri
BORO PARK Y OAC,YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION OF BORO PARK,4912 14th Avenue,Brooklyn,11219,718-435-3804,Senior Center (DFTA),C9601,,,,,Sponsor: YOUNG MENS AND YOUNG WOMENS HEBREW ASSOCIATION OF BORO PARK | Hours: 08:00-04:00 Mon-Fri
BREVOORT SENIOR CLUB,RISEBORO COMMUNITY PARTNERSHIP INC,280 Ralph Avenue,Brooklyn,11233,347-318-3383,Senior Center (DFTA),W2002,,,,,Sponsor: RISEBORO COMMUNITY PARTNERSHIP INC | Hours: 09:00-05:00 Mon-Fri
CCNS GLENWOOD OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,5701 Avenue H,Brooklyn,11234,718-241-7711,Senior Center (DFTA),C1718,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS NARROWS OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,930 53rd Street,Brooklyn,11219,718-232-2311,Senior Center (DFTA),C1714,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS NEW AGE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,54 MacDonough Street,Brooklyn,11216,718-771-7945,Senior Center (DFTA),C1713,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS NORTHSIDE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,179 North 6th Street,Brooklyn,11211,718-387-2316,Senior Center (DFTA),C1710,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS PETE MCGUINNESS OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,715 Leonard Street,Brooklyn,11222,718-383-1940,Senior Center (DFTA),C1711,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS RIVERWAY OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,230 Riverdale Avenue,Brooklyn,11212,718-942-5345,Senior Center (DFTA),C1708,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:30-04:30 Mon-Fri
CCNS ST. CHARLES JUBILEE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,55 Pierrepont Street,Brooklyn,11201,718-855-0326,Senior Center (DFTA),C1719,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 09:00-05:00 Mon-Fri
CCNS ST. LOUIS OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,230 Kingston Avenue,Brooklyn,11213,718-771-7945,Senior Center (DFTA),C1715,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS THE BAY OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,3643 Nostrand Avenue,Brooklyn,11229,718-648-2053,Senior Center (DFTA),C1706,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 08:00-04:00 Mon-Fri
CCNS THE LODGE OAC,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC,7711 18th Avenue,Brooklyn,11214,718-621-1081,Senior Center (DFTA),C1717,,,,,Sponsor: CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC | Hours: 07:00-03:00 Mon-Fri
CHRISTOPHER BLENMAN OAC,FORT GREENE COUNCIL,720 East New York Avenue,Brooklyn,11203,718-773-7400,Senior Center (DFTA),C3505,,,,,Sponsor: FORT GREENE COUNCIL | Hours: 09:00-05:00 Mon-Fri
CONGREGATION YETEV LEV --WILLIAMSBURG SATMAR,CONGREGATION YETEV LEV DSATMAR,125 Heyward Street,Brooklyn,11206,718-625-1608,Senior Center (DFTA),C2301,,,,,Sponsor: CONGREGATION YETEV LEV DSATMAR | Hours: 09:00-05:00 Mon-Fri
COPO,COUNCIL OF PEOPLES ORGANIZATION INC.,1081 Coney Island Avenue,Brooklyn,11230,718-434-3266,Senior Center (DFTA),2TT01,,,,,Sponsor: COUNCIL OF PEOPLES ORGANIZATION INC. | Hours: - Mon-Fri
COUNCIL CTR FOR SENIOR CITIZENS,BROOKLYN SECTION NATIONAL COUNCIL OF JEWISH WOMEN INC.,1001 Quentin road,Brooklyn,11223,718-627-7680,Senior Center (DFTA),C1301,,,,,Sponsor: BROOKLYN SECTION NATIONAL COUNCIL OF JEWISH WOMEN INC. | Hours: 09:00-05:00 Mon-Fri
COUNCIL OF PEOPLES ORGANIZATION: HALAL SENIOR CENTER,COUNCIL OF PEOPLES ORGANIZATION INC.,1075-1077 Coney Island Avenue,Brooklyn,11230,718-434-3266,Senior Center (DFTA),C2701,,,,,Sponsor: COUNCIL OF PEOPLES ORGANIZATION INC. | Hours: 09:00-05:00 Mon-Fri
CPC BROOKLYN SENIOR CENTER,CHINESE AMERICAN PLANNING COUNCIL INC,4101 8th Avenue,Brooklyn,11232,917-922-8382,Senior Center (DFTA),C2101,,,,,Sponsor: CHINESE AMERICAN PLANNING COUNCIL INC | Hours: 09:00-05:00 Mon-Fri
