rank,venue,address,borough,type,website,status,date_contacted,booking_contact,notes
73,The Cecil,210 W 118th St,Manhattan (Harlem),CLOSED,,,,,"CLOSED - Was upscale Harlem restaurant with jazz."
74,Minton's Playhouse,206 W 118th St,Manhattan (Harlem),FIT,https://www.mintonsplayhouse.com,,,info@mintonsplayhouse.com,"Historic Harlem jazz club. Hard booking. Bebop birthplace."
75,Smoke Jazz Club,2751 Broadway,Manhattan (Upper West Side),FIT,https://www.smokejazz.com,,,smokejazzclub@smokejazz.com,"Already contacted. Jazz club with supper."
76,Alice's Tea Cup,102 W 73rd St,Manhattan (Upper West Side),FIT,,,,info@alicesteacup.com,"Multiple locations. May not book live music. Verify first."
77,Prohibition,503 Columbus Ave,Manhattan (Upper West Side),FIT,https://www.prohibitionnyc.com,,,info@prohibitionnyc.com,"Upper West Side bar/restaurant. Live music some nights."
78,Jake's Dilemma,429 Amsterdam Ave,Manhattan (Upper West Side),FIT,https://www.jakesdilemma.com,,,info@jakesdilemma.com,"College bar. Occasional live music. Lower priority."
79,The Dead Poet,450 Amsterdam Ave,Manhattan (Upper West Side),FIT,https://www.thedeadpoguet.com,,,info@thedeadpoguet.com,"Literary themed bar. Occasional acoustic nights."
80,Amity Hall,982 Amsterdam Ave,Manhattan (Upper West Side),FIT,https://www.amityhalluptown.com,,,info@amityhalluptown.com,"Bar with live music. College crowd."
81,Refinery Rooftop,63 W 38th St,Manhattan (Midtown),FIT,https://www.therefineryrooftop.com,,,info@therefineryrooftop.com,"Hotel rooftop bar. Occasional live music."
82,The Press Lounge,653 11th Ave,Manhattan (Hell's Kitchen),FIT,https://www.thepresslounge.com,,,info@thepresslounge.com,"Ink48 Hotel rooftop. Jazz/brunch sometimes."
83,Piano's,158 Ludlow St,Manhattan (Lower East Side),FIT,https://www.pianosnyc.com,,,booking@pianosnyc.com,"Already contacted. Multi-stage indie room."
84,The Delancey,168 Delancey St,Manhattan (Lower East Side),FIT,https://www.thedelancey.com,,,info@thedelancey.com,"Bar with live music. Three levels including rooftop."
85,Beauty Bar,231 E 14th St,Manhattan (East Village),FIT,https://www.beautybar.com,,,info@beautybar.com,"Salon-themed bar. DJs more than live but worth trying."
86,Niagara,112 Avenue A,Manhattan (East Village),FIT,,,,info@niagaranyc.com,Dive bar with occasional live music.
87,Iggy's,132 Ludlow St,Manhattan (Lower East Side),FIT,,,,info@iggysnyc.com,"Karaoke/live music. Occasional bands."
88,Arlene's Grocery,95 Stanton St,Manhattan (Lower East Side),FIT,https://www.arlenesgrocery.com,,,info@arlenesgrocery.net,"Already contacted. Rock venue."
89,Cake Shop,152 Ludlow St,Manhattan (Lower East Side),CLOSED,,,,,"CLOSED - Was iconic DIY venue/cafe."
90,Rockwood Music Hall,196 Allen St,Manhattan (Lower East Side),FIT,https://www.rockwoodmusichall.com,,,info@rockwoodmusichall.com,"Already contacted. Three stages."
91,The Living Room,134 Metropolitan Ave,Brooklyn (Williamsburg),CLOSED,,,,,"CLOSED - Was legendary songwriter venue."
92,Mike's Piano Bar,1584 Second Ave,Manhattan (Upper East Side),FIT,,,,info@mikespianobar.com,Upper East Side piano bar. May book solo acts.
93,Brandy's Piano Bar,235 E 84th St,Manhattan (Upper East Side),FIT,https://www.brandysnyc.com,,,info@brandysnyc.com,"Piano bar, Broadway crowd. Solo piano/vocal."
94,Don't Tell Mama,343 W 46th St,Manhattan (Theater District),FIT,https://www.donttellmamanyc.com,,,info@donttellmamanyc.com,"Theater district piano bar. Cabaret/open mic."
95,Marie's Crisis,59 Grove St,Manhattan (Greenwich Village),FIT,,,,info@mariescrisis.com,"Legendary sing-along piano bar. Not typical booking."
96,Rise Bar,859 9th Ave,Manhattan (Hell's Kitchen),FIT,https://www.risebarnyc.com,,,info@risebarnyc.com,"Piano bar, mostly drag shows but occasional live music."
97,Sidewalk Cafe,94 Avenue A,Manhattan (East Village),FIT,https://www.sidewalknyc.com,,,booking@sidewalkny.com,"Already contacted. Antifolk/roots."
98,Manhattan Inn,632 Manhattan Ave,Brooklyn (Greenpoint),CLOSED,,,,,"CLOSED - Was Greenpoint venue with piano."
99,The Gibson,108 Bedford Ave,Brooklyn (Williamsburg),FIT,https://www.thegibsonbk.com,,,info@thegibsonbk.com,"Williamsburg cocktail bar. Occasional live music."
100,St. Mazie,345 Grand St,Brooklyn (Williamsburg),FIT,https://www.stmazie.com,,,info@stmazie.com,"Williamsburg bar/restaurant. Live music downstairs."
151,The Django,2 Avenue of the Americas,Manhattan (Tribeca),FIT,https://www.2dtnyc.com,,,info@2dtnyc.com,Jazz club under the Roxy Hotel. Live music nightly.
152,The Django at the Roxy,2 6th Ave,Manhattan (Tribeca),FIT,https://www.theroxyhotel.com/django,,,django@theroxyhotel.com,Jazz club in Roxy Hotel.
153,Hotel Chantelle,92 Ludlow St,Manhattan (Lower East Side),FIT,https://www.hotelchantelle.com,,,info@hotelchantelle.com,Rooftop bar with live music. French-American venue.
154,Montero Bar,73 Atlantic Ave,Brooklyn (Brooklyn Heights),FIT,,,,info@monterosbar.com,Long-standing Brooklyn dive bar. Live music occasionally.
155,Little Branch,20 7th Ave S,Manhattan (West Village),FIT,,,,info@littlebranch.net,Speakeasy-style cocktail bar. Occasional live jazz.
156,Ear Inn,326 Spring St,Manhattan (Soho),FIT,https://www.earinn.com,,,info@earinn.com,Historic bar with live music. Blues/jazz/roots focus.
157,Sunshine Laundromat,925 Fulton St,Brooklyn (Clinton Hill),FIT,https://www.sunshinelaundromatbk.com,,,info@sunshinelaundromatbk.com,Bar/laundromat with live music. Hipster spot.
158,The Commodore,366 Metropolitan Ave,Brooklyn (Williamsburg),FIT,https://www.commodoreny.com,,,info@commodoreny.com,Bar with live music. Southern comfort food.
159,Freddy's Bar,627 5th Ave,Brooklyn (Park Slope),FIT,https://www.freddysbar.com,,,info@freddysbar.com,Neighborhood bar with live music. Eclectic bookings.
160,Black Rabbit,91 Greenpoint Ave,Brooklyn (Greenpoint),FIT,https://www.blackrabbitrnyc.com,,,info@blackrabbitrnyc.com,Speakeasy-style bar. Live music on weekends.
161,The Richardson,451 Graham Ave,Brooklyn (Williamsburg),FIT,https://www.therichardsonnyc.com,,,info@therichardsonnyc.com,Cocktail bar with occasional live music.
162,The Gibson,108 Bedford Ave,Brooklyn (Williamsburg),FIT,https://www.thegibsonbk.com,,,info@thegibsonbk.com,Williamsburg cocktail bar. Occasional live music.
163,St. Mazie,345 Grand St,Brooklyn (Williamsburg),FIT,https://www.stmazie.com,,,info@stmazie.com,Williamsburg bar/restaurant. Live music downstairs.
164,The Cobra Club,6 Wyckoff Ave,Brooklyn (Bushwick),FIT,https://www.thecobraclub.com,,,booking@thecobraclub.com,Rock/metal bar with live music.
165,Trans Pecos,915 Wyckoff Ave,Brooklyn (Ridgewood),FIT,https://www.transpecosridgewood.com,,,booking@transpecosridgewood.com,Experimental music venue. Eclectic bookings.
166,The Footlight,465 Seneca Ave,Queens (Ridgewood),FIT,https://www.thefootlightbar.com,,,booking@thefootlightbar.com,Queens bar with live music. Local talent.
167,The Shillelagh Tavern,47-22 30th Ave,Queens (Astoria),FIT,https://www.theshillelaghta.com,,,info@theshillelaghta.com,Irish pub with live music. Americana/roots.
168,Q.E.D.,27-16 23rd Ave,Queens (Astoria),FIT,https://www.qedastoria.com,,,booking@qedastoria.com,Comedy/music venue. Acoustic-friendly.
169,The Bonnie,29-12 23rd Ave,Queens (Astoria),FIT,https://www.thebonnie.com,,,info@thebonnie.com,Astoria cocktail bar. Occasional live music.
170,The Ditty,29-04 Ditmars Blvd,Queens (Astoria),FIT,https://www.thedittynyc.com,,,info@thedittynyc.com,Neighborhood bar with live music.
171,The Sparrow Tavern,24-01 29th St,Queens (Astoria),FIT,https://www.thesparrowtavern.com,,,info@thesparrowtavern.com,Bar with live music. Americana/indie.
172,The Wolfhound,39-16 30th Ave,Queens (Astoria),FIT,https://www.thewolfhoundnyc.com,,,info@thewolfhoundnyc.com,Irish pub with live music.
173,The Quays,45-02 30th Ave,Queens (Astoria),FIT,https://www.thequaysnyc.com,,,info@thequaysnyc.com,Irish pub with traditional music sessions.
174,Rockaway Brewing Company,46-01 5th St,Queens (Long Island City),FIT,https://www.rockawaybrewco.com,,,events@rockawaybrewco.com,Brewery with live music events.
175,LIC Bar,45-58 Vernon Blvd,Queens (Long Island City),FIT,https://www.licbar.com,,,info@licbar.com,Long Island City neighborhood bar. Live music.
176,The Court Square Diner,45-25 Jackson Ave,Queens (Long Island City),FIT,https://www.courtsquarediner.com,,,info@courtsquarediner.com,Diner/bar with occasional live music.
177,The Creek and The Cave,10-93 Jackson Ave,Queens (Long Island City),FIT,https://www.creeklic.com,,,booking@creeklic.com,Comedy/music venue. Live performances.
178,The Pencil Factory,122 West St,Brooklyn (Greenpoint),FIT,https://www.thepencillfactory.com,,,info@thepencillfactory.com,Bar with live music. Roots/rock focus.
179,The Lot Radio,17 Nassau Ave,Brooklyn (Greenpoint),FIT,https://www.thelotradio.com,,,info@thelotradio.com,Radio station/bar. Live DJ sets and music.
180,Pete's Candy Store,709 Lorimer St,Brooklyn (Williamsburg),FIT,https://www.petescandystore.com,,,info@petescandystore.com,Intimate back room. Free music series.
181,The Way Station,413 Vanderbilt Ave,Brooklyn (Prospect Heights),FIT,https://www.thewaystationbk.com,,,info@thewaystationbk.com,Geeky bar with live music. Solo/duo friendly.
182,Barbès,376 9th St,Brooklyn (Park Slope),FIT,https://www.barbesbrooklyn.com,,,booking@barbesbrooklyn.com,World music/blues bar. Send streamable link.
183,Union Pool,484 Union Ave,Brooklyn (Williamsburg),FIT,https://www.unionpool.com,,,info@unionpool.com,Rock/indie venue with bar. Trio/full band.
184,The Bell House,149 7th St,Brooklyn (Gowanus),FIT,https://www.thebellhouseny.com,,,info@thebellhouseny.com,Brooklyn live music venue. Two rooms.
185,Music Hall of Williamsburg,66 N 6th St,Brooklyn (Williamsburg),FIT,https://www.musichallofwilliamsburg.com,,,booking@musichallofwilliamsburg.com,Major venue. National acts.
186,Baby's All Right,146 Broadway,Brooklyn (Williamsburg),FIT,https://www.babysallright.com,,,booking@babysallright.com,Indie venue/restaurant. Eclectic bookings.
187,Rough Trade NYC,64 N 9th St,Brooklyn (Williamsburg),FIT,https://www.roughtradenyc.com,,,events@roughtradenyc.com,Record store/venue. Live performances.
188,The Knitting Factory,361 Metropolitan Ave,Brooklyn (Williamsburg),FIT,https://www.knittingfactory.com,,,booking@knittingfactory.com,Multi-genre venue. Live music nightly.
189,Brooklyn Bowl,61 Wythe Ave,Brooklyn (Williamsburg),FIT,https://www.brooklynbowl.com,,,booking@brooklynbowl.com,Bowling alley/venue. Live music and events.
190,Output,74 Wythe Ave,Brooklyn (Williamsburg),CLOSED,,,,,"CLOSED - Was electronic music venue."
191,Glasslands Gallery,289 Kent Ave,Brooklyn (Williamsburg),CLOSED,,,,,"CLOSED - Former DIY venue."
192,Death by Audio,49 S 2nd St,Brooklyn (Williamsburg),CLOSED,,,,,"CLOSED - Former DIY venue."
193,The Gutter,200 N 14th St,Brooklyn (Williamsburg),FIT,https://www.thegutterbrooklyn.com,,,booking@thegutterbrooklyn.com,Bowling alley/bar. Live music occasionally.
194,Santos Party House,96 Lafayette St,Manhattan (Chinatown),CLOSED,,,,,"CLOSED - Was multi-level venue."
195,The Delancey,168 Delancey St,Manhattan (Lower East Side),FIT,https://www.thedelancey.com,,,booking@thedelancey.com,Three-level venue. Live music on roof.
196,Rockwood Music Hall,196 Allen St,Manhattan (Lower East Side),FIT,https://www.rockwoodmusichall.com,,,info@rockwoodmusichall.com,Three stages. Stage 3 best for one-man shows.
197,The Living Room,154 Ludlow St,Manhattan (Lower East Side),CLOSED,,,,,"CLOSED - Was singer-songwriter venue. Reopened elsewhere?"
198,Pianos,158 Ludlow St,Manhattan (Lower East Side),FIT,https://www.pianosnyc.com,,,booking@pianosnyc.com,Multi-stage indie room. Cosmic Ray played here.
199,Arlene's Grocery,95 Stanton St,Manhattan (Lower East Side),FIT,https://www.arlenesgrocery.com,,,info@arlenesgrocery.net,Live music venue. Rock/indie focus.
200,The Bitter End,147 Bleecker St,Manhattan (Greenwich Village),FIT,https://www.bitterend.com,,,info@bitterend.com,Iconic live room. Info@ for booking.
