rank,festival,date,venue,location,state,phone,website,status,booking_contact,email,notes
18,"Huntsville, Alabama",256.262.7911,,valleyartsandentertainment.org,Tba,,,,,,From Living Blues Festival Guide 2026
19,"January 22-February 1, 2026",Juneau Jazz Festival,anchoragefolkfestival.org,"Anchorage, AK",AK,907.463.3378,www.jazzandclassics.org,,,,From Living Blues Festival Guide 2026
20,"April 6-12, 2026","Juneau, Alaska",Juneau Jazz & Classics Spring Festival,akfolkfest.org,AK,907.463.3378,www.jazzandclassics.org,,,,From Living Blues Festival Guide 2026
21,Spenard Jazz Fest,"May 28-June 8, 2026",,"Ninilchik, AK",AK,,www.spenardjazzfest.org,,,,From Living Blues Festival Guide 2026
22,salmonfestalaska.orgARIZONA,"January 16-24, 2026",Tucscon Jazz Festival,"Tucson, AK",AK,520.762.6260,,,,,From Living Blues Festival Guide 2026
23,Oro Valley Marketplace,"February 28, 2026",artstateaz.org,"Oro Valley, AK",AK,954.465.0998,,,,,From Living Blues Festival Guide 2026
24,Northernarizonabluesalliance,"March 14, 2026",Flat Iron Community Park,"Superstition Blues, AK",AK,,,,,,From Living Blues Festival Guide 2026
25,"Camp Verde, Arizona",928.554.0851,Woodystock Blues & Brews Festival,visitcampverde.com/pecan-and-wine-festival,AK,760.646.5330,,,,,From Living Blues Festival Guide 2026
26,Chandler Jazz Festival,"April 9-12, 2026",,"April 11, AK",AK,480.782.3037,www.visitchandler.com,,,,From Living Blues Festival Guide 2026
27,"Scottsdale, Arizona",602.524.7998,Flagstaff Blues & Brews,scottsdalejazzfest.org,AK,,,,,,From Living Blues Festival Guide 2026
28,"Flagstaff, Arizona",928.606.7600,SABHF Blues Heritage Festival,flagstaffblues.com,Tba,,,,,,From Living Blues Festival Guide 2026
29,"Tucson, Arizona",,Dukes & Boots,Arkansas State Fairgrounds,Tba,888.684.9998,www.facebook.com/AZBLUES.ORGARKANSAS,,,,From Living Blues Festival Guide 2026
30,Osceola Heritage MusicFest,"May 15-16, 2026",,"Proctor, Tba",Tba,901.481.4961,www.osceolaheritagemusicfestival.com,,,,From Living Blues Festival Guide 2026
31,Entertainment-100089526567313,"May 28-31, 2026",Eureka Springs Blues Party,"Eureka Springs, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
32,"Hot Springs, Arkansas",,bikesbluesandbbq.org,"Rogers, Tba",Tba,479.527.9993,www.bigsteammusicfestival.com,,,,From Living Blues Festival Guide 2026
33,"October 8-10, 2026",870.572.5223,kingbiscuitfestival.com,"Helena, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
34,"Springdale, Arkansas",,arbluesandstringbandfest.com,Tba,Tba,,,,,,From Living Blues Festival Guide 2026
35,Biscuits and Blues 31st Anniversary,"February 21, 2026",Blues Fest,Biscuits and Blues,CA,415.292.2583,www.biscuitsandblues.com,,,,From Living Blues Festival Guide 2026
36,"March 15, 2026","April 4, 2026",Upland Hills Country Club,"Upland, CA",CA,,,,,,From Living Blues Festival Guide 2026
37,springharpfest.org,"April 6, 2026",Blues Walk of Fame Fundraiser,Jack London Square,CA,510.472.8800,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
38,"April 18, 2026",707.428.7767,County Green,"Fairfield, CA",CA,,www.fairfield.ca.gov/our-city/city-events/,,,,From Living Blues Festival Guide 2026
39,"San Diego, California",619.282.7329,,"Gator by the Bay Zydeco, CA",CA,,www.adamsavenuebusiness.com,,,,From Living Blues Festival Guide 2026
40,Crawfish Festival,"May 7-10, 2026",gatorbythebay.com,"San Diego, CA",CA,,,,,,From Living Blues Festival Guide 2026
41,"Fountain Valley, California",562.495.5959,,"Three Rivers, CA",CA,,www.nabluesfest.comTopanga Blues Festival,,,,From Living Blues Festival Guide 2026
42,"May 17, 2026",,Will Geer Theatricum Botanicum,"Topanga, CA",CA,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
43,"Ojai, California",805.625.1332,,"Norco, CA",CA,,www.brewnquefestival.com,,,,From Living Blues Festival Guide 2026
44,Blue Note Jazz Festival,"June 13-14, 2026",,"June 14, CA",CA,323.850.2050,www.hollywoodbowl.com,,,,From Living Blues Festival Guide 2026
45,The World Famous Turf Club,510.472.8800,,"June 19, CA",CA,,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
46,"Pleasanton, California",510.472.8800,,"San Luis Obispo, CA",CA,805.781.3030,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
47,Richmond Juneteenth Celebration,"June 20, 2026",,"June 27, CA",CA,510.472.8800,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
48,Rear of Hayward City Hall,510.472.8800,,"San Jose, CA",CA,408.641.4144,www.westcoastbluessociety.orgSan Jose Fountain Blues & Brews Festival,,,,From Living Blues Festival Guide 2026
49,fountainblues.com,"July 2-5, 2026",High Sierra Music Festival,"Grass Valley, CA",CA,,www.highsierramusic.com,,,,From Living Blues Festival Guide 2026
50,Blues & Brews Festival,"July 17-18, 2026",,"San Jose, CA",CA,,www.bluesandbrewsfestival.com,,,,From Living Blues Festival Guide 2026
51,sanjosejazz.org,"August 8-9, 2026",Long Beach Jazz Festival,"Long Beach, CA",CA,562.424.0013,www.longbeachjazzfestival.com,,,,From Living Blues Festival Guide 2026
52,Perigot Park,"August 29-30, 2026",humboldtfolklife.com,"Blue Lake, CA",CA,,,,,,From Living Blues Festival Guide 2026
53,newbluesfestival.com,"September 12-13, 2026",Blue Wing Blues Festival,"Upper Lake, CA",CA,707.275.2244,www.theserenite.com/tallman-hotel,,,,From Living Blues Festival Guide 2026
54,"September 19, 2026",559.582.9457,Main Street Hanford,"Hanford, CA",CA,,www.mainstreethanford.com,,,,From Living Blues Festival Guide 2026
55,"Blues, Brews & BBQ","September 20, 2026",,"Alameda, CA",CA,415.309.8565,www.westendartsdistrict.org/blues-brews-,,,,From Living Blues Festival Guide 2026
56,"September 24-27, 2026",661.340.0026,Frandy Campground,"Kernville, CA",CA,,www.kernriverrocknblues.com,,,,From Living Blues Festival Guide 2026
57,"Sausalito, California",510.472.8800,,"Monterey, CA",CA,831.373.3366,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
58,Ohana Festival,"September 25-27, 2026",,"Eureka, CA",CA,,www.ohanafest.com,,,,From Living Blues Festival Guide 2026
59,rcmfest.org,"October 1-4, 2026",San Diego Tijuana International Jazz,Festival,CA,,www.sdtjjazz.orgBlues from Around the World,,,,From Living Blues Festival Guide 2026
60,Jack London Square,510.472.8800,,"Los Angeles, CA",CA,,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
61,Caravan of All-Stars Performance and,510.472.8800,Lecture,First Saturday of each month,CA,,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
62,First Sunday of each month,510.472.8800,Blondie’s Bar,"San Francisco, CA",CA,,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
63,"Mammoth Lakes, California",,mammothbluesbrewsfest.com,Mare Island Dock of Bay Music Festival,Tba,,,,,,From Living Blues Festival Guide 2026
64,Mare Island,707.265.1333,dockofbay.com,"Vallejo, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
65,"Brownsville, California",,brownsvillebluesfestival,Humphreys Labor Day Blues Fest,Tba,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
66,Humphreys Backstage Live,619.224.3577,,"San Diego, Tba",Tba,,www.humphreysbackstagelive.com,,,,From Living Blues Festival Guide 2026
67,"Los Angeles,","April 18-19, 2026",California,tbmpac.comCOLORADO,Tba,,www.bluebirdmusicfestival.org,,,,From Living Blues Festival Guide 2026
68,FoCoMX,"April 24-25, 2026",focoma.org/focomx,"Fort Collins, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
69,beavercreekresortcompany.ticketspice.,"August 20-22, 2026",com/2026-blues-brews-bbq,Durango Blues Train,Tba,970.728.8037,www.durangobluestrain.com,,,,From Living Blues Festival Guide 2026
70,"June 5-6, 2026",970.573.5019,greeleybluesjam.org,"Greeley, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
71,Blues from the Top,"June 26-28, 2026",,"Telluride, Tba",Tba,303.921.3316,,,,,From Living Blues Festival Guide 2026
72,Telluride Blues & Brews Festival,"September 18-20, 2026",,"Telluride, Tba",Tba,,www.tellurideblues.com,,,,From Living Blues Festival Guide 2026
73,Blues Festival at Madison Beach Hotel,"February 20-22, 2026",,"Madison, CT",CT,203.350.0014,,,,,From Living Blues Festival Guide 2026
74,"March 6, 2026",,Willimantic Elks Lodge,"Willimantic, CT",CT,,www.eventbrite.com/e/2026-willimantic-,,,,From Living Blues Festival Guide 2026
75,"Stratford, Connecticut",,stratford,Litchfield Jazz Festival,CT,860.361.6285,www.stratfordct.gov/page/celebrate-,,,,From Living Blues Festival Guide 2026
76,Black Bear Americana Music Fest,"August 14-16, 2026",,"Harwinton, CT",CT,,www.blackbearmusicfest.com,,,,From Living Blues Festival Guide 2026
77,Yurechko Tree Farm,,Connecticut Rhythm & Blues Fest,"Griswold, Tba",Tba,,www.ecpaa.org,,,,From Living Blues Festival Guide 2026
78,Trinity-on-Main,,ctbluesfest.com,"New Britain, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
79,"Hartford, Connecticut",860.278.7427,,Tba,Tba,,www.blackeyedsallys.com,,,,From Living Blues Festival Guide 2026
80,Rocking the Docks Summer Blues Fest,"August 15, 2026",rockingthedocks.ticketspice.com/,"Lewes, DE",DE,,,,,,From Living Blues Festival Guide 2026
81,Fort DuPont State Park,302.836.8202,,"Rehoboth Beach, DE",DE,,www.truebluejazz.org,,,,From Living Blues Festival Guide 2026
82,Rehoboth Beach Jazz Festival,"October 15-18, 2026",Delaware,"Rehoboth Beach, DE",DE,,www.rehobothjazz.com,,,,From Living Blues Festival Guide 2026
83,"Seaford, Delaware",302.228.5636,,AFRAM-Festival-100064638761658,Tba,,www.facebook.com/p/Eastern-Shore-,,,,From Living Blues Festival Guide 2026
84,G & R Campground,,,"Houston, Tba",Tba,,www.delfolk.org,,,,From Living Blues Festival Guide 2026
85,Giant National Capital Barbecue Battle,"June 27-28, 2026",bbqindc.com,"Washington, DC",DC,,,,,,From Living Blues Festival Guide 2026
86,Smithsonian Folklife Festival,202.633.6440,throughout 2026,"Events in Washington, DC",DC,,,,,,From Living Blues Festival Guide 2026
87,"Washington, DC",,,Tba,Tba,,www.dcblues.org,,,,From Living Blues Festival Guide 2026
88,Fort Mose Jazz & Blues Series,"February 6-15, 2026",discoverfortmose.com,"St. Augustine, FL",FL,,,,,,From Living Blues Festival Guide 2026
89,bbq-blues-festivalClearwater Sea-Blues Festival,"February 28-March 1, 2026",,"March 7, FL",FL,727.562.4800,www.myclearwaterparks.com,,,,From Living Blues Festival Guide 2026
90,Cypress Grove Park,,park-2026-registration-1978626358702,"Orlando, FL",FL,,www.eventbrite.com/e/mayors-jazz-in-the-,,,,From Living Blues Festival Guide 2026
91,bluetaverntallahassee.com,"March 9-14, 2026",Sarasota Jazz Festival,"Sarasota, FL",FL,941.260.9951,www.sarasotajazzfestival.com,,,,From Living Blues Festival Guide 2026
92,Venice Airport Festival Grounds,941.960.3769,,"Port St. Joe, FL",FL,850.227.1223,www.venicebluesandbbq.com,,,,From Living Blues Festival Guide 2026
93,Maitland Jazz & Blues Festival,"April 10-11, 2026",,"April 10-12, FL",FL,407.539.6223,www.maitlandjazzandblues.com,,,,From Living Blues Festival Guide 2026
94,Seawalk Pavilion,904.270.9301,,"St. Petersburg, FL",FL,,www.springingtheblues.com,,,,From Living Blues Festival Guide 2026
95,"April 10-12, 2026",813.708.8423,Meridian Fields,"Tampa, FL",FL,,,,,,From Living Blues Festival Guide 2026
96,"Dania Beach, Florida",954.924.6800,Cajun Crawfish & Music Festival,daniabeachfl.gov,FL,561.427.0500,,,,,From Living Blues Festival Guide 2026
97,cajuncrawfishmusicfestival.com,"April 11-12, 2026",Tallahassee Jazz & Blues Festival,Tallahassee Museum,FL,850.575.8684,,,,,From Living Blues Festival Guide 2026
98,"April 25, 2026",,Blues & Brews Festival,"DeLand, FL",FL,850.638.4157,www.washcomall.com,,,,From Living Blues Festival Guide 2026
99,Seabreeze Jazz Festival,"April 22-26, 2026",Amphitheater,Aaron Beasant Park,FL,,www.seabreezejazzfestival.com,,,,From Living Blues Festival Guide 2026
100,Curtis Hixon Waterfront Park,"May 2, 2026",tampablackheritage.org,"Tampa, FL",FL,954.250.4239,www.deerfield-beach.com,,,,From Living Blues Festival Guide 2026
101,Women in Blues Showcase,"May 17, 2026",ncfblues.orgFlorida Folk Festival,"Gainesville, FL",FL,,,,,,From Living Blues Festival Guide 2026
102,"White Springs, Florida",850.245.2157,,"New Smyrna Beach, FL",FL,,www.floridastateparks.org/,,,,From Living Blues Festival Guide 2026
103,Amelia Island Jazz Festival,"October 4-11, 2026",,"October 10-11, FL",FL,904.504.4772,,,,,From Living Blues Festival Guide 2026
104,"Port St. Joe, Florida",,Camping with the Blues,Florida Sand Music Ranch,FL,941.758.7585,www.campingwiththeblues.com,,,,From Living Blues Festival Guide 2026
105,Downtown Festival & Art Show,"November 14-15, 2026",,"February 27-28, FL",FL,352.393.8543,www.gainesvilledowntownartfest.net,,,,From Living Blues Festival Guide 2026
106,"Vero Beach, Florida",772.492.6105,,"Brooksville, FL",FL,941.758.7585,www.verobluesfest.com,,,,From Living Blues Festival Guide 2026
107,Pasco Blues Festival,727.674.1464,On hiatus until 2027,Land O’Lakes Heritage Park,FL,,,,,,From Living Blues Festival Guide 2026
108,Waterside Place,,lakewoodranch.com,"Lakewood Ranch, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
109,Lake Concord Park,407.262.7700,,"Casselberry, Tba",Tba,,www.casselberry.org,,,,From Living Blues Festival Guide 2026
110,St. Benedict the Moor Catholic Church,904.228.0051,saintbensbluesfest.com,"St. Augustine, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
111,Pioneer Park,,dunedinwinestheblues.com,"Dunedin, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
112,"Boca Raton, Florida",,bocabluesfestival,Tba,Tba,,www.facebook.com/groups/,,,,From Living Blues Festival Guide 2026
113,"Miami, Florida",305.638.6771,,Palatka Porchfest,Tba,,www.ahcacmiami.org,,,,From Living Blues Festival Guide 2026
114,"Palatka, Florida",,palatkaporchfest.com,Tba,Tba,,,,,,From Living Blues Festival Guide 2026
115,Bainbridge Jazz & Blues Festival,"February 7, 2026",,"March 21, GA",GA,229.400.9494,www.facebook.com/,,,,From Living Blues Festival Guide 2026
116,Court Street Livery,,Savannah Music Festival,"Washington, GA",GA,912.200.5991,www.savannahmusicfestival.org,,,,From Living Blues Festival Guide 2026
117,"April 10, 2026","April 10-11, 2026",Trilith Live,"Fayetteville, GA",GA,,,,,,From Living Blues Festival Guide 2026
118,"April 11, 2026","April 18, 2026",Cobb Energy,Performing Arts Centre,GA,,,,,,From Living Blues Festival Guide 2026
119,"Norcross, Georgia",678.622.2104,Pan African Festival of Georgia,bluesberrybeerfestival.com,GA,478.743.8544,,,,,From Living Blues Festival Guide 2026
120,tubmanmuseum.com,"April 24-25, 2026",BBQ & Boogie,"Calhoun, GA",GA,706.602.5570,,,,,From Living Blues Festival Guide 2026
121,Northside Tavern,404.874.8745,,"Athens, GA",GA,,www.northsidetavern.com,,,,From Living Blues Festival Guide 2026
122,athenticbrewing.com,"May 2, 2026",BBQ & Blues Festival & Car Show,"Adairsville, GA",GA,770.773.3451,www.adairsvillega.netThe “Peg Leg” Howell BBQ & Blues,,,,From Living Blues Festival Guide 2026
123,"Eatonton, Georgia",706.749.9150,,"Barnesville, GA",GA,404.733.7034,www.downtowneatonton.com,,,,From Living Blues Festival Guide 2026
124,Atlanta Jazz Festival,"May 23-25, 2026",atljazzfest.com,"Atlanta, GA",GA,,,,,,From Living Blues Festival Guide 2026
125,citysprings.com/juneteenth,"September 12, 2026",Blind Willie McTell Music Festival,"Thomson, GA",GA,,www.blindwillie.com,,,,From Living Blues Festival Guide 2026
126,blueridgebluesandbbq.com,"September 24-27, 2026",GABBAfest 2026,"Macon, GA",GA,478.765.2822,www.gabbafest.net,,,,From Living Blues Festival Guide 2026
127,"City Springs, Georgia",770.730.5600,The Original Collard Greens Cultural,citysprings.com/events/bluestone,GA,,,,,,From Living Blues Festival Guide 2026
128,originalcollardgreensculturalfestival.com,"October 24, 2026",Historic Zion Church Blues Festival,Zion Episcopal Church,GA,,www.facebook.com/ziontalbottonRhythm & Ribs BBQ Festival,,,,From Living Blues Festival Guide 2026
129,"Tifton, Georgia",229.382.8700,,WRFG Labor Day Blues BBQ,GA,,www.tiftonribsfest.com,,,,From Living Blues Festival Guide 2026
130,"Atlanta, Georgia",404.523.3471,,"Blues, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
131,"Savannah, Georgia",912.660.8440,,ccaga.org,Tba,,,,,,From Living Blues Festival Guide 2026
132,Big Island Jazz & Blues Festival,"May 14-17, 2026",,"August 20-23, HI",HI,808.283.9070,,,,,From Living Blues Festival Guide 2026
133,Hilton Hawaiian Village Resort,240.972.5394,,"Honolulu, HI",HI,,www.alohajazzfestival.com,,,,From Living Blues Festival Guide 2026
134,"Ritz-Carlton Maui, Kapalua",,mauijazzandbluesfestival.com,"Maui, Tb",Tb,,,,,,From Living Blues Festival Guide 2026
135,"Hilo, Hawaii",,,Tba,Tba,,www.ehjazzbluesfest.com,,,,From Living Blues Festival Guide 2026
136,Wallace Music Fest,"July 10-12, 2026",wallacemusicfest.com,"Wallace, ID",ID,,www.yellowpinefestival.org,,,,From Living Blues Festival Guide 2026
137,Eagle Jazz & Blues Fest,"September 18-19, 2026",,"Eagle, ID",ID,,www.eaglejazz.org,,,,From Living Blues Festival Guide 2026
138,"October 15-18, 2026",877.478.5277,,"Sun Valley, ID",ID,,www.sunvalleyjazz.com,,,,From Living Blues Festival Guide 2026
139,"Priest River, Idaho",208.448.2395,,Jazz/Blues Festival,Tba,,www.facebook.com/Panhandlebluesfest,,,,From Living Blues Festival Guide 2026
140,"Idaho Falls, Idaho",,eijs.org,Tba,Tba,,,,,,From Living Blues Festival Guide 2026
141,International Jazz Day,"April 30, 2026",jazzday.com,"Chicago, IL",IL,,,,,,From Living Blues Festival Guide 2026
142,jacksonvilleil.org/event/blues-brews-,"May 16-17, 2026",festival-2,Grafton Winery Blues Festival,IL,618.786.3001,,,,,From Living Blues Festival Guide 2026
143,Chicago Blues Festival,"June 4-7, 2026",,"Long Grove, IL",IL,,www.chicagobluesfestival.us,,,,From Living Blues Festival Guide 2026
144,Blues in the District,"June 12 & 26, July 10 & 24, and August 14",,"June 20, IL",IL,217.228.8696,www.thedistrictquincy.comBlues on the Fox,,,,From Living Blues Festival Guide 2026
145,"Aurora, Illinois",630.896.6666,FitzGerald’s 43rd American Music,paramountaurora.com,IL,,,,,,From Living Blues Festival Guide 2026
146,Prairie Crossroads Blues Festival,"August 7-8, 2026",,"Willow Springs, IL",IL,,www.prairiecrossroads.org/bluesfest.html,,,,From Living Blues Festival Guide 2026
147,Crossroads Blues Festival,"August 29, 2026",,"September 4-5, IL",IL,,www.crossroadsbluessociety.com,,,,From Living Blues Festival Guide 2026
148,"Peoria, Illinois","September 19-20, 2026",peoriabluesandheritagefestival.com,Windy City Blues Fest,IL,,,,,,From Living Blues Festival Guide 2026
149,Various dates,773.795.6426,Logan Center for the Arts,University of Chicago,IL,,www.logancenter.uchicago.edu/,,,,From Living Blues Festival Guide 2026
150,Carpenter Park,224.699.9030,dukes-blues-n-bbq.comJoliet Blues Festival,"Carpentersville, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
151,Billie Limacher Bicentennial Park,,Heritage Blues and Gospel Festival,"Joliet, Tba",Tba,,www.jolietbluesmusicfestival.com,,,,From Living Blues Festival Guide 2026
152,"Cairo, Illinois",,,Tba,Tba,,www.cairoheritagefoundation.org,,,,From Living Blues Festival Guide 2026
153,Broad Street Blues & BBQ Festival,"June 12-14, 2026",,"June 13, IN",IN,219.924.7500,www.facebook.com/Broadstreetbluesfest,,,,From Living Blues Festival Guide 2026
154,Fort Ben Cultural Campus,317.875.1900,,"Fort Wayne, IN",IN,,www.artsforlawrence.org,,,,From Living Blues Festival Guide 2026
155,bbqribfest.com,"June 18-21, 2026",Elkhart Jazz Festival,"Elkhart, IN",IN,574.293.4469,,,,,From Living Blues Festival Guide 2026
156,"Cumberland, Indiana",317.894.6203,,"Mishawaka, IN",IN,,www.firefightersblues.org,,,,From Living Blues Festival Guide 2026
157,Downtown Blues & Jazz Festival,"July 18, 2026",downtownlafayette.net/jazzblues,"Lafayette, IN",IN,812.701.8466,,,,,From Living Blues Festival Guide 2026
158,"August 27-29, 2026",812.988.6422,Bill Monroe Music Park & Campground,"Bean Blossom, IN",IN,,,,,,From Living Blues Festival Guide 2026
159,"Brownsburg, Indiana",317.858.4172,Burg,brownsburgparks.com/515/Blues-in-the-,IN,,,,,,From Living Blues Festival Guide 2026
160,visitlawrenceindiana.com/events/event-,"September 12, 2026",calendar/bbq-blues,Island of Blues,IN,574.295.7275,www.cityofelkhartin.gov,,,,From Living Blues Festival Guide 2026
161,Haunted Huntingburg Blues Festival,"October 10, 2026",,"Huntingburg, IN",IN,812.482.9115,,,,,From Living Blues Festival Guide 2026
162,Amphitheater at Fox Park,,Fishers Blues Fest,"La Porte, Tba",Tba,,www.laporteblues.org,,,,From Living Blues Festival Guide 2026
163,Nickel Plate District Amphitheater,317.595.3150,npdamp.com,"Fishers, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
164,McCormick’s Creek State Park,,friendsmccormickscreek.org,"Spencer, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
165,"New Harmony, Indiana",,Botanical Blues,Greater Des Moines Botanical Garden,Tba,513.323.6290,www.newharmonybluesfestival.orgIOWA,,,,From Living Blues Festival Guide 2026
166,Kee Live Music Festival,"January 16-17, 2026",,"February 13-14, Tba",Tba,712.225.6414,,,,,From Living Blues Festival Guide 2026
167,"Des Moines, Iowa","May 23-August 22, 2026",cibs.org,Rhythms at Riverfront Crossings,Tba,319.337.7944,,,,,From Living Blues Festival Guide 2026
168,Iowa Arts Festival,"June 5-7, 2026",,"June 10-August 26, Tba",Tba,319.337.7944,,,,,From Living Blues Festival Guide 2026
169,"Iowa City, Iowa",319.337.7944,Cajun Fest Boil & Brew,summerofthearts.org,Tba,,www.cajunfestiowa.com,,,,From Living Blues Festival Guide 2026
170,"July 3-5, 2026",319.337.7944,summerofthearts.org,"Iowa City, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
171,saturdayinthepark.com,"July 11, 2026",North Liberty Blues & BBQ,Centennial Park,Tba,,,,,,From Living Blues Festival Guide 2026
172,"Cedar Rapids, Iowa",319.362.7375,,"Rockin’ on the River: Rock, Tba",Tba,,www.brucemore.org/bluesmore,,,,From Living Blues Festival Guide 2026
173,Rand Park Pavilion,,groups/1367273254219927,"Keokuk, Tba",Tba,,www.facebook.com/,,,,From Living Blues Festival Guide 2026
174,Maytag Bowl & Maytag Park,641.485.0809,,"Newton, Tba",Tba,,www.facebook.com/south.skunk.1,,,,From Living Blues Festival Guide 2026
175,"Davenport, Iowa",,Bondu Blues & Brews Festival,Tba,Tba,,www.mvbs.org,,,,From Living Blues Festival Guide 2026
176,"Bondurant, Iowa",515.967.2418,,Blue Ribbon Blues Fest,Tba,,www.cityofbondurant.com,,,,From Living Blues Festival Guide 2026
177,Jefferson County Fairgrounds,641.919.7477,southeastiowabluessociety.org,"Fairfield, Tba",Tba,,,,,,From Living Blues Festival Guide 2026
178,Wichita Riverfest,"May 29-June 6, 2026",,"July 4, KS",KS,316.267.2817,,,,,From Living Blues Festival Guide 2026
179,"Topeka, Kansasa",,Paola Roots Festival,Paola Park Square,KS,913.294.6427,www.rootsfestival.org,,,,From Living Blues Festival Guide 2026
180,"September 12, 2026",913.367.2427,,"Paxico, KS",KS,,www.visitatchison.com,,,,From Living Blues Festival Guide 2026
181,FortFest,,,KS,KS,,,,,,From Living Blues Festival Guide 2026
182,"Fort Scott, Kansas",,blueskc.org,KC Blues & Jazz Festival,Tba,,,,,,From Living Blues Festival Guide 2026
183,Legends Field,913.328.5618,,"Kansas City, Tba",Tba,,www.kcbluesandjazzfestival.com,,,,From Living Blues Festival Guide 2026
184,Midland Railroad Hotel,785.658.2284,,"Wilson, Tba",Tba,,www.midlandrailroadhotel.com,,,,From Living Blues Festival Guide 2026
185,Lower Town Arts & Music Festival,"May 8-9, 2026",ltamf.com,"Paducah, KY",KY,,www.facebook.com/groups/,,,,From Living Blues Festival Guide 2026
186,gtownbluesfest,"June 6, 2026",Kentucky Blues Music Festival,Kentucky Music Hall of Fame Amphitheater,KY,606.256.1000,,,,,From Living Blues Festival Guide 2026
187,"June 13, 2026",859.940.2742,,"Henderson, KY",KY,,www.midwaykentucky.org,,,,From Living Blues Festival Guide 2026
188,kyheritagejazzfest.org,"October 9-10, 2026",Garvin Gate Blues Festival,"Louisville, KY",KY,502.445.4193,www.thegarvingatebluesfestival.com,,,,From Living Blues Festival Guide 2026
189,New Orleans Cigar Box Guitar Festival,"January 15-17, 2026",,"February 14, LA",LA,,www.neworleanscbg.com,,,,From Living Blues Festival Guide 2026
190,North Boulevard Town Square,"March 14, 2026",ultimatelouisianapar.wixsite.com/,"Baton Rouge, LA",LA,,,,,,From Living Blues Festival Guide 2026
