rank,festival,date,venue,city,state,phone,website,status,booking_contact,email,notes
18,"May 3, 2026",29th Annual Joe Douglas Old School &,River Walk Amphitheater,Montgomery,AL,,www.rnbbluespicnic.com,,,,From Living Blues Festival Guide 2026
19,"Mobile, Alabama","April 25, 2026",Festival,DeBardeleben Park,AL,205.426.1400,www.mackdaddyproductions.com15th Annual Bob Sykes BBQ & Blues,,,,From Living Blues Festival Guide 2026
20,The Southern Soul & R&B Music Festival,"February 7, 2026",BJCC Concert Hall,Birmingham,AL,205.458.8400,www.bjcc.org,,,,From Living Blues Festival Guide 2026
21,"Tuscaloosa, Alabama","July 15-27, 2026",Gulf Coast Ethnic & Heritage Jazz Festival,Florence,AL,256.766.7642,www.alabamablues.orgW.C. Handy Music Festival,,,,From Living Blues Festival Guide 2026
22,VBC Propst Arena,Postponed,Wetumpka’s River Jam Music Festival,Huntsville,AL,334.567.5147,www.vonbrauncenter.com,,,,From Living Blues Festival Guide 2026
23,Wiregrass Blues Festival,"March 21, 2026",The Plant,Dothan,AL,334-648-6542,www.wiregrassbluesfestival.com,,https://www.wiregrassbluesfestival.com/2026---13th-annual,wiregrassblues@gmail.com,"Wiregrass Blues Society. PO Box 6185, Dothan, AL 36302"
24,gcehjazzfest.org,"September 12-13, 2026",Bernard Blues & BBQ,St. Bernard Abbey & Preparatory School,AL,256.739.6682,www.bernardbluesbbq.com,,,,From Living Blues Festival Guide 2026
25,valleyartsandentertainment.org,,,,AL,,,,,,From Living Blues Festival Guide 2026
26,wilsonpickettfestival.com,"March 28, 2026",Taste of Soul Family Festival,The Orion Amphitheater,AL,256.964.9556,,,,,From Living Blues Festival Guide 2026
27,"April 18-19, 2026","April 24-25, 2026",Macky Auditorium,Boulder,CA,,www.bluebirdmusicfestival.org,,,,From Living Blues Festival Guide 2026
28,"April 6, 2026","April 18, 2026",Jack London Square,Oakland,CA,707.428.7767,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
29,Beaver Creek Resort,"August 20-22, 2026",beavercreekresortcompany.ticketspice.,Avon,CA,970.728.8037,www.durangobluestrain.com,,,,From Living Blues Festival Guide 2026
30,Biscuits and Blues 31st Anniversary,"February 21, 2026",Blues Fest,Biscuits and Blues,CA,415.292.2583,www.biscuitsandblues.com,,,,From Living Blues Festival Guide 2026
31,Blue Note Jazz Festival,"June 13-14, 2026",Hollywood Bowl,Los Angeles,CA,323.850.2050,www.hollywoodbowl.com,,,,From Living Blues Festival Guide 2026
32,Blues from the Top,"June 26-28, 2026",bluesfromthetop.org,Winter Park,CA,970.728.8037,www.telluridejazz.org,,,,From Living Blues Festival Guide 2026
33,"Blues, Brews & BBQ","September 20, 2026",Washington Park,Alameda,CA,415.309.8565,www.westendartsdistrict.org/blues-brews-,,,,From Living Blues Festival Guide 2026
34,Buddy Brown Blues Festival,"August 15, 2026",Perigot Park,Blue Lake,CA,,,,,,From Living Blues Festival Guide 2026
35,Caravan of All-Stars Performance and,,Lecture,First Saturday of each month,CA,510.472.8800,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
36,"Gator by the Bay Zydeco, Blues &","May 7-10, 2026",Crawfish Festival,Spanish Landing Park,CA,,,,,,From Living Blues Festival Guide 2026
37,Greeley Blues Jam,"June 5-6, 2026",greeleybluesjam.org,Greeley,CA,970.573.5019,www.bluesnbbq.com,,,,From Living Blues Festival Guide 2026
38,High Sierra Music Festival,"July 2-5, 2026",Alameda County Fairgrounds,Grass Valley,CA,510.472.8800,www.highsierramusic.com,,,,From Living Blues Festival Guide 2026
39,Humphreys Backstage Live,TBA,Barbara Morrison Jazz & Blues Festival,San Diego,CA,619.224.3577,www.humphreysbackstagelive.com,,,,From Living Blues Festival Guide 2026
40,"June 27, 2026","June 27-28, 2026",Rear of Hayward City Hall,Hayward,CA,408.641.4144,www.westcoastbluessociety.orgSan Jose Fountain Blues & Brews Festival,,,,From Living Blues Festival Guide 2026
41,Juneteenth featuring Oakland Blues Divas,"June 19, 2026",and Various Artists,Alameda County Fairgrounds,CA,510.472.8800,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
42,"Kernville, California","September 25, 2026",Jazz by the Bay,Sausalito Waterfront,CA,510.472.8800,www.kernriverrocknblues.com,,,,From Living Blues Festival Guide 2026
43,"March 15, 2026","April 4, 2026",Upland Hills Country Club,Upland,CA,,,,,,From Living Blues Festival Guide 2026
44,Mare Island,TBA,dockofbay.com,Vallejo,CA,707.265.1333,www.facebook.com/,,,,From Living Blues Festival Guide 2026
45,NA Gateway Blues Fest,"May 16, 2026",Lions Club Roping Arena,Three Rivers,CA,,www.nabluesfest.comTopanga Blues Festival,,,,From Living Blues Festival Guide 2026
46,North Richmond Music Festival,"July 11, 2026",Shields-Reid Park,Richmond,CA,510.472.8800,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
47,"October 1-4, 2026","October 1-4, 2026",rcmfest.org,Eureka,CA,707.445.3378,www.sdtjjazz.orgBlues from Around the World,,,,From Living Blues Festival Guide 2026
48,"October 10, 2026","October 17, 2026",Jack London Square,Oakland,CA,510.472.8800,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
49,Ojai Blues Fest,"May 29-30, 2026",Ojai Art Center,Ojai,CA,805.625.1332,www.facebook.com/ojaibluesfest,,,,From Living Blues Festival Guide 2026
50,"San Francisco, California",TBA,Mammoth Festival of Beers &,Bluesapalooza,CA,510.472.8800,www.westcoastbluessociety.org,,,,From Living Blues Festival Guide 2026
51,San Jose Jazz Summer Fest,"August 7-9, 2026",sanjosejazz.org,San Jose,CA,562.424.0013,www.longbeachjazzfestival.com,,,,From Living Blues Festival Guide 2026
52,"San Luis Obispo, California","June 20, 2026",Richmond Juneteenth Celebration,Nickel Park,CA,510.472.8800,www.liveoakfest.org,,,,From Living Blues Festival Guide 2026
53,San Rafael PorchFest,"Sep 20, 2026",,San Rafael,CA,,https://www.sanrafaelporchfest.com/apply-to-perform,,https://www.sanrafaelporchfest.com/apply-to-perform,,Application via web form on Wix site
54,"September 19, 2026","September 19-20, 2026",Main Street Hanford,Hanford,CA,619.282.7329,www.mainstreethanford.com,,,,From Living Blues Festival Guide 2026
55,"September 25-27, 2026","September 25-27, 2026",montereyjazz.org,Monterey,CA,831.373.3366,www.ohanafest.com,,,,From Living Blues Festival Guide 2026
56,Telluride Blues & Brews Festival,"September 18-20, 2026",,Telluride,CA,,www.tellurideblues.com,,,,From Living Blues Festival Guide 2026
57,blues-brews-bbq,"April 25, 2026",Adams Avenue Unplugged,San Diego,CA,619.282.7329,www.adamsavenuebusiness.com,,,,From Living Blues Festival Guide 2026
58,newbluesfestival.com,"September 12-13, 2026",Blue Wing Blues Festival,Upper Lake,CA,707.275.2244,www.theserenite.com/tallman-hotel,,,,From Living Blues Festival Guide 2026
59,Beanstalk Music Festival,"Aug 6-8, 2026",,Bond,CO,,https://www.frontstagefestivals.com/festival/beanstalk-music-festival-2026,,https://beanstalkfestival.com/contact-us.html,BeanstalkFestival@gmail.com,Colorado-based festival
60,Black-Eyed & Blues Fest,TBA,,Hartford,CT,860.278.7427,www.blackeyedsallys.com,,,,From Living Blues Festival Guide 2026
61,Blues Festival at Madison Beach Hotel,"February 20-22, 2026",Madison Beach Hotel,Madison,CT,203.350.0014,,,,,From Living Blues Festival Guide 2026
62,ECPAA Music Festival,TBA,Yurechko Tree Farm,Griswold,CT,,www.ecpaa.org,,,,From Living Blues Festival Guide 2026
63,"March 6, 2026","July 18, 2026",Willimantic Elks Lodge,Willimantic,CT,,www.eventbrite.com/e/2026-willimantic-,,,,From Living Blues Festival Guide 2026
64,stratford,"July 24-26, 2026",Litchfield Jazz Festival,Litchfield,CT,860.361.6285,,,,,From Living Blues Festival Guide 2026
65,"Events in Washington, DC, and nationwide",TBA,throughout 2026,festival.si.edu,DC,202.633.6440,www.dcblues.org,,,,From Living Blues Festival Guide 2026
66,Giant National Capital Barbecue Battle,"June 27-28, 2026",bbqindc.com,Washington,DC,,www.dcjazzfest.org,,,,From Living Blues Festival Guide 2026
67,"October 14-18, 2026","October 15-18, 2026",Delaware,Rehoboth Beach,DE,,www.truebluejazz.org,,,,From Living Blues Festival Guide 2026
68,Rocking the Docks Summer Blues Fest,"August 15, 2026",Lewes Ferry Grounds,Lewes,DE,,,,,,From Living Blues Festival Guide 2026
69,"Seaford, Delaware",TBA,AFRAM-Festival-100064638761658,Delmarva Folk Festival,DE,302.228.5636,www.facebook.com/p/Eastern-Shore-,,,,From Living Blues Festival Guide 2026
70,"April 10-12, 2026","April 11, 2026",Meridian Fields,Tampa,FL,954.924.6800,,,,,From Living Blues Festival Guide 2026
71,Fort Mose Jazz & Blues Series,"February 6-15, 2026",Fort Mose State Park,St. Augustine,FL,813.782.1913,www.eastpascochamber.org/pigz-in-zhills-,,,,From Living Blues Festival Guide 2026
72,"Gainesville, Florida","February 27-28, 2027",Vero Beach Blues Festival,Indian River County Fairgrounds,FL,772.492.6105,www.gainesvilledowntownartfest.net,,,,From Living Blues Festival Guide 2026
73,Maitland Jazz & Blues Festival,"April 10-11, 2026",Independence Square,Maitland,FL,407.539.6223,www.maitlandjazzandblues.com,,,,From Living Blues Festival Guide 2026
74,"March 19-21, 2027",,Florida Sand Music Ranch,Brooksville,FL,727.674.1464,www.bluesbashattheranch.com,,,,From Living Blues Festival Guide 2026
75,"New Smyrna Beach, Florida","October 4-11, 2026",nsbjazzfest.com,Amelia Island Jazz Festival,FL,904.504.4772,,,,,From Living Blues Festival Guide 2026
76,Palatka Porchfest,TBA,palatkaporchfest.com,Palatka,FL,,,,,,From Living Blues Festival Guide 2026
77,"Port St. Joe, Florida","October 16-18, 2026",Camping with the Blues,Florida Sand Music Ranch,FL,941.758.7585,www.forgottenmusicfestival.com,,,,From Living Blues Festival Guide 2026
78,Seabreeze Jazz Festival,"April 22-26, 2026",Aaron Beasant Park,Amphitheater,FL,,www.seabreezejazzfestival.com,,,,From Living Blues Festival Guide 2026
79,St. Benedict the Moor Blues Festival,TBA,St. Benedict the Moor Catholic Church,St. Augustine,FL,904.228.0051,,,,,From Living Blues Festival Guide 2026
80,"Tallahassee, Florida","April 25, 2026",tallahasseemuseum.org,Thin Man Watts Jazz Fest,FL,850.575.8684,www.wattsjazzfest.com,,,,From Living Blues Festival Guide 2026
81,Tampa Bay Blues Festival,"April 10-12, 2026",Vinoy Park,St. Petersburg,FL,,www.tampabaybluesfest.com,,,,From Living Blues Festival Guide 2026
82,Venice Blues & BBQ,"March 20-22, 2026",Venice Airport Festival Grounds,Venice,FL,850.227.1223,www.venicebluesandbbq.com,,,,From Living Blues Festival Guide 2026
83,bbq-blues-festivalClearwater Sea-Blues Festival,"February 28-March 1, 2026",Coachman Park,Clearwater,FL,727.562.4800,www.myclearwaterparks.com,,,,From Living Blues Festival Guide 2026
84,daniabeachfl.gov,"April 11-12, 2026",Cajun Crawfish & Music Festival,Abacoa Town Center,FL,561.427.0500,,,,,From Living Blues Festival Guide 2026
85,dunedinwinestheblues.com,TBA,Boca Blues Festival,Boca Raton,FL,305.638.6771,www.facebook.com/groups/,,,,From Living Blues Festival Guide 2026
86,floridapenguinproductions.comLakewood Ranch Blues Festival,TBA,Waterside Place,Lakewood Ranch,FL,407.262.7700,,,,,From Living Blues Festival Guide 2026
87,ncfblues.orgFlorida Folk Festival,"May 22-24, 2026",Stephen Foster Folk Culture Center State,Park,FL,850.245.2157,www.floridastateparks.org/,,,,From Living Blues Festival Guide 2026
88,park-2026-registration-1978626358702,"March 7, 2026",Backyard Blues,Blue Tavern,FL,850.815.8566,,,,,From Living Blues Festival Guide 2026
89,tampablackheritage.org,"May 2, 2026",Ocean Brews & Blues,Deerfield Beach,FL,954.250.4239,www.deerfield-beach.com,,,,From Living Blues Festival Guide 2026
90,"April 10, 2026","April 10-11, 2026",Trilith Live,Fayetteville,GA,229.259.3577,www.valdostamainstreet.com,,,,From Living Blues Festival Guide 2026
91,"April 11, 2026","April 18, 2026",Cobb Energy,Performing Arts Centre,GA,678.622.2104,,,,,From Living Blues Festival Guide 2026
92,"Athens, Georgia","May 2, 2026",athenticbrewing.com,BBQ & Blues Festival & Car Show,GA,770.773.3451,www.adairsvillega.netThe “Peg Leg” Howell BBQ & Blues,,,,From Living Blues Festival Guide 2026
93,Atlanta Blues Challenge,"Aug 16, 2026",Madlife Stage & Studios,Woodstock,GA,,https://atlantabluessociety.org/2026/05/blues-challenge-now-taking-applications/,,https://atlantabluessociety.org/2026/05/blues-challenge-now-taking-applications/,theatlantabluessociety@gmail.com,Atlanta Blues Society. Application PDF available for download.
94,Bainbridge Jazz & Blues Festival,"February 7, 2026",BainbridgeJazzBluesFest,Bainbridge,GA,229.400.9494,www.facebook.com/,,,,From Living Blues Festival Guide 2026
95,Barnesville BBQ and Blues Festival,"May 16, 2026",barnesville.org,Barnesville,GA,404.733.7034,,,,,From Living Blues Festival Guide 2026
96,"City Springs, Georgia","September 26-27, 2026",citysprings.com/events/bluestone,The Original Collard Greens Cultural,GA,800.253.3397,,,,,From Living Blues Festival Guide 2026
97,Historic Zion Church Blues Festival,"October 24, 2026",Zion Episcopal Church,Talbotton,GA,229.382.8700,www.facebook.com/ziontalbottonRhythm & Ribs BBQ Festival,,,,From Living Blues Festival Guide 2026
98,Juneteenth Celebration,"June 19, 2026",citysprings.com/juneteenth,City Springs,GA,770.730.5600,www.blindwillie.com,,,,From Living Blues Festival Guide 2026
99,Savannah Music Festival,"March 25-April 5, 2026",,Savannah,GA,912.200.5991,www.savannahmusicfestival.org,,,,From Living Blues Festival Guide 2026
100,WRFG Labor Day Blues BBQ,TBA,wrfg.org,Atlanta,GA,912.660.8440,,,,,From Living Blues Festival Guide 2026
101,bbqboogie.com,"April 24-25, 2026",BreezeFest 2026,Northside Tavern,GA,404.874.8745,www.northsidetavern.com,,,,From Living Blues Festival Guide 2026
102,bluesberrybeerfestival.com,"April 23-26, 2026",Pan African Festival of Georgia,Tubman Museum,GA,478.743.8544,,,,,From Living Blues Festival Guide 2026
103,Big Island Jazz & Blues Festival,"May 14-17, 2026",Mauna Kea Beach Hotel,Waimea,HI,808.283.9070,,,,,From Living Blues Festival Guide 2026
104,Maui Jazz & Blues Festival,TBA,TB,Ritz-Carlton Maui,HI,,www.ehjazzbluesfest.com,,,,From Living Blues Festival Guide 2026
105,"Eagle, Idaho",,,,ID,,www.eaglejazz.org,,,,From Living Blues Festival Guide 2026
106,"Idaho Falls, Idaho",,eijs.org,,ID,,,,,,From Living Blues Festival Guide 2026
107,"October 15-18, 2026",TBA,Panhandle Bluesfest,Sun Valley,ID,208.448.2395,www.sunvalleyjazz.com,,,,From Living Blues Festival Guide 2026
108,Wallace Music Fest,"July 10-12, 2026",wallacemusicfest.com,Wallace,ID,,www.yellowpinefestival.org,,,,From Living Blues Festival Guide 2026
109,"August 15-16, 2026","August 29, 2026",windycityblues.org,Willow Springs,IL,,www.crossroadsbluessociety.com,,,,From Living Blues Festival Guide 2026
110,International Jazz Day,"April 30, 2026",jazzday.com,Chicago,IL,800.593.5678,,,,,From Living Blues Festival Guide 2026
111,"July 2-5, 2026","August 7-8, 2026",FitzGerald’s,Berwyn,IL,708.788.2118,www.fitzgeraldsnightclub.com,,,,From Living Blues Festival Guide 2026
112,Logan Center for the Arts,TBA,University of Chicago,Chicago,IL,773.795.6426,www.logancenter.uchicago.edu/,,,,From Living Blues Festival Guide 2026
113,"Millennium Park Chicago, Illinois","June 12-14, 2026",Brothers Field Blues Fest,Long Grove,IL,847.238.2711,www.chicagobluesfestival.us,,,,From Living Blues Festival Guide 2026
114,"Quincy, Illinois","June 20, 2026",RiverEdge Park,Aurora,IL,630.896.6666,www.thedistrictquincy.comBlues on the Fox,,,,From Living Blues Festival Guide 2026
115,Riverfront Park,"September 19-20, 2026",peoriabluesandheritagefestival.com,Peoria,IL,,,,,,From Living Blues Festival Guide 2026
116,dukes-blues-n-bbq.comJoliet Blues Festival,TBA,Billie Limacher Bicentennial Park,Joliet,IL,,www.jolietbluesmusicfestival.com,,,,From Living Blues Festival Guide 2026
117,festival-2,"May 16-17, 2026",Grafton Winery Blues Festival,The Grafton Winery,IL,618.786.3001,,,,,From Living Blues Festival Guide 2026
118,"August 27-29, 2026","September 12, 2026",Bill Monroe Music Park & Campground,Bean Blossom,IN,317.858.4172,,,,,From Living Blues Festival Guide 2026
119,Botanical Blues,"January 4-March 29, 2026",Greater Des Moines Botanical Garden,Des Moines,IN,712.225.6414,,,,,From Living Blues Festival Guide 2026
120,Broad Street Blues & BBQ Festival,"June 12-14, 2026",Griffith Central Park,Griffith,IN,219.924.7500,www.facebook.com/Broadstreetbluesfest,,,,From Living Blues Festival Guide 2026
121,"Davenport, Iowa",TBA,Bondu Blues & Brews Festival,Bondurant,IN,515.967.2418,www.mvbs.org,,,,From Living Blues Festival Guide 2026
122,"Fairfield, Iowa",,southeastiowabluessociety.org,,IN,641.919.7477,,,,,From Living Blues Festival Guide 2026
123,Island Park,"October 10, 2026",Haunted Huntingburg Blues Festival,Elkhart,IN,812.482.9115,www.cityofelkhartin.gov,,,,From Living Blues Festival Guide 2026
124,"July 18, 2026","August 21-22, 2026",downtownlafayette.net/jazzblues,Lafayette,IN,812.701.8466,www.madisonbbqparty.us,,,,From Living Blues Festival Guide 2026
125,"June 18-21, 2026","June 18-21, 2026",Headwaters Park,Fort Wayne,IN,574.293.4469,,,,,From Living Blues Festival Guide 2026
126,"June 27, July 25, & August 22, 2026","July 18, 2026",Firefighters Blues Festival,Cumberland,IN,317.894.6203,www.town.cumberland.in.us,,,,From Living Blues Festival Guide 2026
127,"Keokuk, Iowa",TBA,groups/1367273254219927,Bowful of Blues,IN,641.485.0809,www.facebook.com/,,,,From Living Blues Festival Guide 2026
128,Saturday in the Park,"July 4, 2026",Grandview Park,Sioux City,IN,712.277.2575,,,,,From Living Blues Festival Guide 2026
129,brownsburgparks.com/515/Blues-in-the-,"September 12, 2026",Burg,City of Lawrence BBQ & Blues Festival,IN,,,,,,From Living Blues Festival Guide 2026
130,huntingburg-blues-festival,TBA,Laporte County Blues Festival,Amphitheater at Fox Park,IN,,www.laporteblues.org,,,,From Living Blues Festival Guide 2026
131,keelivemusic.com,"February 13-14, 2026",Winter Blues Fest,Downtown Marriott,IN,,,,,,From Living Blues Festival Guide 2026
132,northlibertyblues.orgBluesmore,"August 1, 2026",Brucemore,Cedar Rapids,IN,319.362.7375,www.brucemore.org/bluesmore,,,,From Living Blues Festival Guide 2026
133,npdamp.com,TBA,McCormick’s Creek State Park,Arts,IN,,www.newharmonybluesfestival.orgIOWA,,,,From Living Blues Festival Guide 2026
134,summerofthearts.org,"June 5-7, 2026",Iowa Arts Festival,Iowa City,IN,319.337.7944,,,,,From Living Blues Festival Guide 2026
135,"Fort Scott, Kansas",TBA,blueskc.org,KC Blues & Jazz Festival,KS,913.328.5618,www.kcbluesandjazzfestival.com,,,,From Living Blues Festival Guide 2026
136,Midland Railroad Hotel,,,Wilson,KS,785.658.2284,www.midlandrailroadhotel.com,,,,From Living Blues Festival Guide 2026
137,Paola Roots Festival,"August 28-29, 2026",Paola Park Square,Paola,KS,913.294.6427,www.rootsfestival.org,,,,From Living Blues Festival Guide 2026
138,"September 12, 2026","September 19, 2026",Paxico Blues Festival,Atchison,KS,913.367.2427,www.visitatchison.com,,,,From Living Blues Festival Guide 2026
139,Wichita Riverfest,"May 29-June 6, 2026",wichitariverfest.com,Wichita,KS,316.267.2817,www.topekabluessociety.org,,,,From Living Blues Festival Guide 2026
140,"Harrodsburg, Kentucky","October 9-10, 2026",kyheritagejazzfest.org,Garvin Gate Blues Festival,KY,502.445.4193,www.thegarvingatebluesfestival.com,,,,From Living Blues Festival Guide 2026
141,"June 6, 2026","June 13, 2026",Kentucky Music Hall of Fame Amphitheater,Mount Vernon,KY,859.940.2742,www.midwaykentucky.org,,,,From Living Blues Festival Guide 2026
142,Lower Town Arts & Music Festival,"May 8-9, 2026",ltamf.com,Paducah,KY,,www.facebook.com/groups/,,,,From Living Blues Festival Guide 2026
143,W.C. Handy Blues & Barbecue Festival,"June 17-20, 2026",handyblues.orgBourbon & Beyond,Henderson,KY,,,,,,From Living Blues Festival Guide 2026
144,Acadia Music Fest,"October 17, 2026",Tremé Fall Festival,Thibodaux,LA,985.492.0017,www.acadiamusicfest.net,,,,From Living Blues Festival Guide 2026
145,"April 13-16, 2026","April 16-19, 2026",Lakeview Park & Beach,Eunice,LA,504.522.5730,,,,,From Living Blues Festival Guide 2026
146,"April 3, 2026","April 8-12, 2026",Brookshire Grocery Arena,Shreveport,LA,337.354.7924,www.cyclezydeco.org,,,,From Living Blues Festival Guide 2026
147,Baton Rouge Blues Festival,"April 17-18, 2026",La Fête du Monde,Baton Rouge,LA,985.532.6640,www.brblues.org,,,,From Living Blues Festival Guide 2026
148,Capital City Blues Extravaganza,"June 6, 2026",Raising Cane’s River Center Arena,Baton Rouge,LA,,,,,,From Living Blues Festival Guide 2026
149,Celebration,"April 27, 2026",Franklin Avenue Baptist Church,New Orleans,LA,504.558.6100,www.jazzandheritage.org,,,,From Living Blues Festival Guide 2026
150,Crawfest,"April 18, 2026",Tulane University,New Orleans,LA,337.232.8086,www.tulanecrawfest.com,,,,From Living Blues Festival Guide 2026
151,Crescent City Blues & BBQ Festival,"Oct 9-11, 2026",,New Orleans,LA,(504) 558-6100,https://www.jazzandheritage.org/events/2026-crescent-city-blues-bbq-festival/,,https://www.jazzandheritage.org/contact/,,Organized by New Orleans Jazz & Heritage Foundation. Contact via web form. Appears curated.
152,Lebeau Zydeco Festival,"July 4, 2026",Immaculate Conception Catholic Church,Grounds,LA,337.945.4238,,,,,From Living Blues Festival Guide 2026
153,Mansfield Juneteenth Celebration,"June 26-28, 2026",Juneteenth-Festival-100064835045609,Mansfield,LA,318.461.5775,www.facebook.com/p/Mansfield-Annual-,,,,From Living Blues Festival Guide 2026
154,Natchitoches Meat Pie Festival,"September 18-19, 2026",Highland Jazz & Blues Festival,Natchitoches,LA,,www.meatpiefestival.com,,,,From Living Blues Festival Guide 2026
155,"Natchitoches, Louisiana","May 15-17, 2026",Mid-City Bayou Boogaloo Music Festival,New Orleans,LA,318.226.5641,www.natchjazzfest.com,,,,From Living Blues Festival Guide 2026
156,New Orleans Cigar Box Guitar Festival,"January 15-17, 2026",New Orleans Jazz Museum,New Orleans,LA,,www.neworleanscbg.com,,,,From Living Blues Festival Guide 2026
157,New Orleans Jazz & Heritage Festival,"April 23-May 3, 2026",Fair Grounds Race Course,New Orleans,LA,,www.nojazzfest.com,,,,From Living Blues Festival Guide 2026
158,"New Orleans, Louisiana","March 27-28, 2026",dannybarkerfestival.com,Hammond Smokin’ BBQ Challenge,LA,,www.hammondbbq.com,,,,From Living Blues Festival Guide 2026
159,"November 13-14, 2026",TBA,Louis Armstrong Park,New Orleans,LA,504.558.6100,www.jazzandheritage.org,,,,From Living Blues Festival Guide 2026
160,OZONE Songwriter Festival,2026,,,LA,,https://ozonemusic.org/2026-ozone-music-festival-performer-application/,,https://ozonemusic.org/2026-ozone-music-festival-performer-application/,,Application via web form. Contact via ozonemusic.org/contact
161,"October 29-November 15, 2026","October 30-31, 2026",Blackpot Festival & Cookoff,Shreveport,LA,318.635.1361,www.statefairoflouisiana.com,,,,From Living Blues Festival Guide 2026
162,"October 31-November 1, 2026","November 6, 2026",Heritage Park,Slidell,LA,,,,,,From Living Blues Festival Guide 2026
163,"October 9-11, 2026","October 16-18, 2026",Girard Park,Lafayette,LA,435.602.0172,www.nolafunkfest.com,,,,From Living Blues Festival Guide 2026
164,Prather Coliseum,"August 1-2, 2026",folk-festival,Natchitoches,LA,504.522.5730,www.nsula.edu/folklife/natchitoches-nsu-,,,,From Living Blues Festival Guide 2026
165,Red River Revel Arts Festival,"October 8-11 & October 15-18, 2026",Festival Plaza,Shreveport,LA,318.424.4000,,,,,From Living Blues Festival Guide 2026
166,"Scott, Louisiana","April 10-12, 2026",scottboudinfestival.com,Ponchatoula Strawberry Festival,LA,800.917.7045,www.lastrawberryfestival.com,,,,From Living Blues Festival Guide 2026
167,"September 19-20, 2026","September 24-27, 2026",Main Library,Baton Rouge,LA,310.721.1592,,,,,From Living Blues Festival Guide 2026
168,"September 25-26, 2026","October 3, 2026",Cassidy Park,Bogalusa,LA,985.516.0311,www.bogalusablues.com,,,,From Living Blues Festival Guide 2026
169,bbcrawfest.com,4th Annual Tucka James Music Fest,Evangeline Downs Casino Event Center,May 8-9,LA,,,,,,From Living Blues Festival Guide 2026
170,mudbugmadness.com,"May 23-24, 2026",Baton Rouge Soul Food Festival,Main Library,LA,225.802.9681,,,,,From Living Blues Festival Guide 2026
171,satchmosummerfest.orgLe Cajun Music Awards & Festival,"August 14-15, 2026",Rayne Civic Center,Rayne,LA,225.395.5007,,,,,From Living Blues Festival Guide 2026
172,ultimatelouisianapar.wixsite.com/,"March 14, 2026",brmardigrasfest,Blossom Fest,LA,504.568.6993,,,,,From Living Blues Festival Guide 2026
